4 - List Of Successful Candidate,,,,,,,,
,,,,,,,,
SL. No.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN
58,Bihar,Madhubani,ASHOK KUMAR YADAV,GEN,GENERAL,BJP,Lotus,454940
59,Bihar,Nawada,Chandan Singh,GEN,GENERAL,LJP,Bungalow,148072
60,Bihar,Jhanjharpur,Ramprit Mandal,GEN,GENERAL,JD(U),Arrow,322951
61,Bihar,Jamui (SC),CHIRAG KUMAR PASWAN,SC,SC,LJP,Bungalow,241049
62,Bihar,Supaul,Dileshwar Kamait,GEN,GENERAL,JD(U),Arrow,266853
63,Bihar,Araria,PRADEEP KUMAR SINGH,GEN,GENERAL,BJP,Lotus,137241
64,Bihar,Kishanganj,Dr. Mohammad Jawed,GEN,GENERAL,INC,Hand,34466
65,Bihar,Katihar,DULAL CHANDRA GOSWAMI,GEN,GENERAL,JD(U),Arrow,57203
66,Bihar,Purnia,SANTOSH KUMAR,GEN,GENERAL,JD(U),Arrow,263461
67,Bihar,Madhepura,Dinesh Chandra Yadav,GEN,GENERAL,JD(U),Arrow,301527
68,Bihar,Darbhanga,Gopal Jee Thakur,GEN,GENERAL,BJP,Lotus,267979
69,Bihar,Muzaffarpur,Ajay Nishad,GEN,GENERAL,BJP,Lotus,409988
70,Bihar,Vaishali,Veena Devi (W/o Dinesh Prasad Singh),GEN,GENERAL,LJP,Bungalow,234584
71,Bihar,Gopalganj (SC),DR. ALOK KUMAR SUMAN,SC,SC,JD(U),Arrow,286434
72,Bihar,Siwan,Kavita Singh,GEN,GENERAL,JD(U),Arrow,116958
73,Bihar,Maharajganj,"Janardan Singh 'Sigriwal""",GEN,GENERAL,BJP,Lotus,230772
74,Bihar,Saran,Rajiv Pratap Rudy,GEN,GENERAL,BJP,Lotus,138411
75,Bihar,Hajipur (SC),PASHU PATI KUMAR PARAS,SC,SC,LJP,Bungalow,205449
76,Bihar,Ujiarpur,Nityanand Rai,GEN,GENERAL,BJP,Lotus,277278
77,Bihar,Samastipur (SC),Ramchandra Paswan,SC,SC,LJP,Bungalow,251643
78,Bihar,Begusarai,Giriraj Singh,GEN,GENERAL,BJP,Lotus,422217
79,Bihar,Khagaria,Choudhary Mehboob Ali Kaiser,GEN,GENERAL,LJP,Bungalow,248570
80,Bihar,Bhagalpur,AJAY KUMAR MANDAL,GEN,GENERAL,JD(U),Arrow,277630
81,Bihar,Banka,GIRIDHARI YADAV,GEN,GENERAL,JD(U),Arrow,200532
82,Bihar,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,GEN,GENERAL,JD(U),Arrow,167937
83,Chandigarh,CHANDIGARH,KIRRON KHER,GEN,GENERAL,BJP,Lotus,46970
84,Chhattisgarh,SARGUJA,Renuka Singh Saruta,ST,ST,BJP,Lotus,157873
85,Chhattisgarh,RAIGARH,GOMATI SAI,ST,ST,BJP,Lotus,66027
86,Chhattisgarh,JANJGIR-CHAMPA,GUHARAM AJGALLEY,SC,SC,BJP,Lotus,83255
87,Chhattisgarh,KORBA,JYOTSNA CHARANDAS MAHANT,GEN,GENERAL,INC,Hand,26249
88,Chhattisgarh,BILASPUR,ARUN SAO,GEN,GENERAL,BJP,Lotus,141763
89,Chhattisgarh,RAJNANDGAON,SANTOSH PANDEY,GEN,GENERAL,BJP,Lotus,111966
90,Chhattisgarh,DURG,VIJAY BAGHEL,GEN,GENERAL,BJP,Lotus,391978
91,Chhattisgarh,RAIPUR,Sunil Kumar Soni,GEN,GENERAL,BJP,Lotus,348238
92,Chhattisgarh,MAHASAMUND,CHUNNI LAL SAHU,GEN,GENERAL,BJP,Lotus,90511
93,Chhattisgarh,BASTAR,DEEPAK BAIJ,ST,ST,INC,Hand,38982
94,Chhattisgarh,KANKER,MOHAN MANDAVI,ST,ST,BJP,Lotus,6914
95,Dadra & Nagar Haveli,Dadra And Nagar Haveli,DELKAR MOHANBHAI SANJIBHAI,ST,ST,IND,Batsman,9001
96,Daman & Diu,Daman & diu,LALUBHAI BABUBHAI PATEL,GEN,GENERAL,BJP,Lotus,9942
97,Goa,North Goa,SHRIPAD YESSO NAIK,GEN,GENERAL,BJP,Lotus,80247
98,Goa,South Goa,COSME FRANCISCO CAITANO SARDINHA,GEN,GENERAL,INC,Hand,9755
99,Gujarat,Dahod,JASHVANTSINH SUMANBHAI BHABHOR,ST,ST,BJP,Lotus,127596
100,Gujarat,Vadodara,RANJANBEN BHATT,GEN,GENERAL,BJP,Lotus,589177
101,Gujarat,Chhota Udaipur,RATHVA GITABEN VAJESINGBHAI,ST,ST,BJP,Lotus,377943
102,Gujarat,Bharuch,Mansukhbhai Dhanjibhai Vasava,GEN,ST,BJP,Lotus,334214
103,Gujarat,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,ST,ST,BJP,Lotus,215447
104,Gujarat,Surat,Darshana Vikram Jardosh,GEN,GENERAL,BJP,Lotus,548230
105,Gujarat,Navsari,C. R. Patil,GEN,GENERAL,BJP,Lotus,689668
106,Gujarat,Valsad,Dr.K.C.PATEL,ST,ST,BJP,Lotus,353797
107,Gujarat,Kachchh,CHAVDA VINOD LAKHAMSHI,SC,SC,BJP,Lotus,305513
108,Gujarat,Banaskantha,PARBATBHAI SAVABHAI PATEL,GEN,GENERAL,BJP,Lotus,368296
109,Gujarat,Patan,DABHI BHARATSINHJI SHANKARJI,GEN,GENERAL,BJP,Lotus,193879
110,Gujarat,Mahesana,SHARDABEN ANILBHAI PATEL,GEN,GENERAL,BJP,Lotus,281519
111,Gujarat,Sabarkantha,RATHOD DIPSINH SHANKARSINH,GEN,GENERAL,BJP,Lotus,268986
