4 - List Of Successful Candidate,,,,,,,,
,,,,,,,,
SL. No.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN
258,Maharashtra,Beed,Pritam Gopinathrao Munde,GEN,GENERAL,BJP,Lotus,168368
259,Maharashtra,Amravati ,Navnit Ravi Rana,SC,SC,IND,Spanner,36951
260,Maharashtra,Osmanabad,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,GEN,GENERAL,SHS,Bow and Arrow,127566
261,Maharashtra,Wardha,Ramdas Chandrabhanji Tadas,GEN,GENERAL,BJP,Lotus,187191
262,Maharashtra,Latur ,Sudhakar Tukaram Shrangare,SC,SC,BJP,Lotus,289111
263,Maharashtra,Ramtek ,Krupal Balaji Tumane,SC,SC,SHS,Bow and Arrow,126783
264,Maharashtra,Nagpur ,NITIN JAIRAM GADKARI,GEN,GENERAL,BJP,Lotus,216009
265,Maharashtra,Solapur ,SHRI. SHA. BRA. DR. JAI SIDHESHWAR SHIVACHARY MAHASWAMIJI,SC,SC,BJP,Lotus,158608
266,Maharashtra,Bhandara - gondiya,Sunil Baburao Mendhe,GEN,GENERAL,BJP,Lotus,197394
267,Maharashtra,Madha,Ranjeetsinha Hindurao Naik- Nimbalkar,GEN,GENERAL,BJP,Lotus,85764
268,Maharashtra,Gadchiroli-Chimur,ASHOK MAHADEORAO NETE,ST,ST,BJP,Lotus,77526
269,Maharashtra,Sangli,Sanjaykaka Patil,GEN,GENERAL,BJP,Lotus,164352
270,Maharashtra,Chandrapur,Balubhau alias Suresh Narayan Dhanorkar,GEN,GENERAL,INC,Hand,44763
271,Maharashtra,Satara,SHRIMANT CHH. UDAYANRAJE PRATAPSINHMAHARAJ BHONSLE,GEN,GENERAL,NCP,Clock,126528
272,Maharashtra,Ratnagiri - sindhudurg,Vinayak Raut,GEN,GENERAL,SHS,Bow and Arrow,178322
273,Maharashtra,Yavatmal-Washim,Bhavana Pundlikrao Gawali,GEN,GENERAL,SHS,Bow and Arrow,117939
274,Maharashtra,Kolhapur,Sanjay Sadashivrao Mandlik,GEN,GENERAL,SHS,Bow and Arrow,270568
275,Maharashtra,Hingoli ,Hemant Patil,GEN,GENERAL,SHS,Bow and Arrow,277856
276,Maharashtra,Hatkanangle,Dhairyasheel Sambhajirao Mane,GEN,GENERAL,SHS,Bow and Arrow,96039
277,Maharashtra,Nanded,Prataprao Patil Chikhalikar,GEN,GENERAL,BJP,Lotus,40148
278,Maharashtra,Parbhani,JADHAV SANJAY (BANDU) HARIBHAU,GEN,GENERAL,SHS,Bow and Arrow,42199
279,Maharashtra,Jalna,Danve Raosaheb Dadarao,GEN,GENERAL,BJP,Lotus,332815
280,Maharashtra,Aurangabad,Imtiaz Jaleel Syed,GEN,GENERAL,AIMIM,Kite,4492
281,Maharashtra,Dindori ,Dr. Bharati Pravin Pawar,ST,ST,BJP,Lotus,198779
282,Maharashtra,Nashik,Godse Hemant Tukaram,GEN,GENERAL,SHS,Bow and Arrow,292204
283,Maharashtra,Palghar ,Rajendra Dhedya Gavit,ST,ST,SHS,Bow and Arrow,88883
284,Maharashtra,Bhiwandi,KAPIL MORESHWAR PATIL,GEN,GENERAL,BJP,Lotus,156329
285,Manipur,Inner manipur,DR RAJKUMAR RANJAN SINGH,GEN,GENERAL,BJP,Lotus,17755
286,Manipur,Outer manipur,Lorho S. Pfoze,ST,ST,NPF,Cock,73782
287,Meghalaya,Shillong,VINCENT H. PALA,ST,ST,INC,Hand,152433
288,Meghalaya,Tura ,AGATHA K. SANGMA,ST,ST,NPEP,Book,64030
289,Mizoram,MIZORAM,C LALROSANGA,ST,ST,MNF,Star,8140
290,Nagaland,Nagaland,Tokheho Yepthomi,GEN,ST,NDPP,Globe,16344
291,NCT OF Delhi,CHANDNI CHOWK                 ,HARSH VARDHAN,GEN,GENERAL,BJP,Lotus,228145
292,NCT OF Delhi,NORTH EAST DELHI              ,MANOJ TIWARI,GEN,GENERAL,BJP,Lotus,366102
293,NCT OF Delhi,EAST DELHI                    ,GAUTAM GAMBHIR,GEN,GENERAL,BJP,Lotus,391222
294,NCT OF Delhi,NEW DELHI                     ,MEENAKASHI LEKHI,GEN,GENERAL,BJP,Lotus,256504
295,NCT OF Delhi,NORTH WEST DELHI              ,HANS RAJ HANS,SC ,SC,BJP,Lotus,553897
296,NCT OF Delhi,WEST DELHI                    ,PARVESH SAHIB SINGH VERMA,GEN,GENERAL,BJP,Lotus,578486
297,NCT OF Delhi,SOUTH DELHI                   ,RAMESH BIDHURI,GEN,GENERAL,BJP,Lotus,367043
298,Odisha,Sundargarh ,Jual Oram,ST,ST,BJP,Lotus,223065
299,Odisha,Sambalpur,NITESH GANGA DEB,GEN,GENERAL,BJP,Lotus,9162
300,Odisha,Keonjhar ,Chandrani Murmu,ST,ST,BJD,Conch,66203
301,Odisha,Mayurbhanj ,BISHWESWAR TUDU,ST,ST,BJP,Lotus,25256
302,Odisha,Balasore,PRATAP CHANDRA SARANGI,GEN,GENERAL,BJP,Lotus,12956
303,Odisha,Bhadrak ,MANJULATA MANDAL,SC,SC,BJD,Conch,28791
304,Odisha,Jajpur ,SARMISTHA SETHI,SC,SC,BJD,Conch,101693
305,Odisha,Dhenkanal,MAHESH SAHOO,GEN,SC,BJD,Conch,35412
306,Odisha,Bolangir,Sangeeta Kumari Singh Deo,GEN,GENERAL,BJP,Lotus,19516
307,Odisha,Kalahandi,BASANTA KUMAR PANDA,GEN,GENERAL,BJP,Lotus,26814
308,Odisha,Nabarangpur ,RAMESH CHANDRA MAJHI,ST,ST,BJD,Conch,41634
309,Odisha,Kandhamal,ACHYUTANANDA SAMANTA,GEN,GENERAL,BJD,Conch,149216
310,Odisha,Cuttack,BHARTRUHARI MAHTAB,GEN,GENERAL,BJD,Conch,121201
311,Odisha,Kendrapara ,Anubhav Mohanty,GEN,GENERAL,BJD,Conch,153581
312,Odisha,Jagatsinghpur ,RAJASHREE MALLICK,SC,SC,BJD,Conch,271655
313,Odisha,Puri,PINAKI MISRA,GEN,GENERAL,BJD,Conch,11714
314,Odisha,Bhubaneswar,APARAJITA SARANGI,GEN,GENERAL,BJP,Lotus,23839
315,Odisha,Aska,Pramila Bisoyi,GEN,GENERAL,BJD,Conch,204707
316,Odisha,Berhampur,CHANDRA SEKHAR SAHU,GEN,GENERAL,BJD,Conch,94844
317,Odisha,Koraput ,SAPTAGIRI SANKAR ULAKA,ST,ST,INC,Hand,3613
318,Odisha,Bargarh,Suresh Pujari,GEN,GENERAL,BJP,Lotus,63939
319,Puducherry,Puducherry,Ve. VAITHILINGAM,GEN,GENERAL,INC,Hand,197025
320,Punjab,Bathinda,Harsimrat Kaur Badal,GEN,GENERAL,SAD,Scales,21772
321,Punjab,Sangrur,BHAGWANT MANN,GEN,GENERAL,AAAP,Broom,110211
322,Punjab,Patiala,Preneet Kaur,GEN,GENERAL,INC,Hand,162718
323,Punjab,Gurdaspur,SUNNY DEOL,GEN,GENERAL,BJP,Lotus,82459
324,Punjab,Amritsar,GURJEET SINGH AUJLA,GEN,GENERAL,INC,Hand,99626
325,Punjab,Khadoor Sahib,JASBIR SINGH GILL (DIMPA),GEN,GENERAL,INC,Hand,140573
326,Punjab,Jalandhar,Santokh Singh Chaudhary,SC,SC,INC,Hand,19491
327,Punjab,Hoshiarpur,SOM PARKASH,SC,SC,BJP,Lotus,48530
328,Punjab,Anandpur Sahib,Manish Tewari,GEN,GENERAL,INC,Hand,46884
329,Punjab,Ludhiana,RAVNEET SINGH BITTU,GEN,GENERAL,INC,Hand,76372
330,Punjab,Fatehgarh Sahib,AMAR SINGH,SC,SC,INC,Hand,93898
331,Punjab,Faridkot,Mohammad Sadique,SC,SC,INC,Hand,83256
332,Punjab,Firozpur,SUKHBIR SINGH BADAL,GEN,GENERAL,SAD,Scales,198850
333,Rajasthan,Ganganagar,NIHAL CHAND,SC,SC,BJP,Lotus,406978
334,Rajasthan,Bikaner (SC),ARJUN RAM MEGHWAL,SC,SC,BJP,Lotus,264081
335,Rajasthan,Churu,RAHUL KASWAN,GEN,GENERAL,BJP,Lotus,334402
336,Rajasthan,Jhunjhunu,NARENDRA KUMAR,GEN,GENERAL,BJP,Lotus,302547
337,Rajasthan,Sikar,Sumedhanand Saraswati,GEN,GENERAL,BJP,Lotus,297156
338,Rajasthan,Jaipur Rural,COL. RAJYAVARDHAN RATHORE,GEN,GENERAL,BJP,Lotus,393171
339,Rajasthan,Jaipur,Ramcharan Bohra,GEN,GENERAL,BJP,Lotus,430626
340,Rajasthan,Alwar,Balak Nath,GEN,GENERAL,BJP,Lotus,329971
341,Rajasthan,BHARATPUR,RANJEETA KOLI,SC,SC,BJP,Lotus,318399
342,Rajasthan,KARAULI-DHOLPUR,MANOJ RAJORIA,SC,SC,BJP,Lotus,97682
343,Rajasthan,Dausa,Jaskaur Meena,ST,ST,BJP,Lotus,78444
344,Rajasthan,TONK-SAWAI MADHOPUR,Sukhbir Singh Jaunapuria,GEN,GENERAL,BJP,Lotus,111291
345,Rajasthan,Ajmer,Bhagirath Chaudhary,GEN,GENERAL,BJP,Lotus,416424
346,Rajasthan,Nagaur,HANUMAN BENIWAL,GEN,GENERAL,RLTP,Tyres,181260
347,Rajasthan,Pali,P. P. CHAUDHARY,GEN,GENERAL,BJP,Lotus,481597
348,Rajasthan,Jodhpur,Gajendra Singh Shekhawat,GEN,GENERAL,BJP,Lotus,274440
349,Rajasthan,Barmer,KAILASH CHOUDHARY,GEN,GENERAL,BJP,Lotus,323808
350,Rajasthan,Jalore,Devaji Patel,GEN,GENERAL,BJP,Lotus,261110
351,Rajasthan,Udaipur,ARJUNLAL MEENA,ST,ST,BJP,Lotus,437914
352,Rajasthan,Banswara,KANAKMAL KATARA,ST,ST,BJP,Lotus,305464
353,Rajasthan,Chittorgarh,Chandra Prakash Joshi,GEN,GENERAL,BJP,Lotus,576247
354,Rajasthan,Rajsamand,Diya Kumari,GEN,GENERAL,BJP,Lotus,551916
355,Rajasthan,Bhilwara,SUBHASH CHANDRA BAHERIA,GEN,GENERAL,BJP,Lotus,612000
356,Rajasthan,Kota,OM BIRLA,GEN,GENERAL,BJP,Lotus,279677
357,Rajasthan,JHALAWAR-BARAN,DUSHYANT SINGH,GEN,GENERAL,BJP,Lotus,453928
358,Sikkim,Sikkim,INDRA HANG SUBBA,GEN,GENERAL,SKM,Table Lamp,12433
359,Tamil Nadu,Tenkasi ,DHANUSH.M.KUMAR,SC,SC,DMK,Rising Sun,120767
360,Tamil Nadu,Chennai central,DAYANIDHI MARAN,GEN,GENERAL,DMK,Rising Sun,301520
361,Tamil Nadu,Sriperumbudur,Baalu.T.R.,GEN,GENERAL,DMK,Rising Sun,507955
362,Tamil Nadu,Tirunelveli,GNANATHIRAVIAM S,GEN,GENERAL,DMK,Rising Sun,185720
363,Tamil Nadu,Kancheepuram ,Selvam.G,SC,SC,DMK,Rising Sun,286632
364,Tamil Nadu,Kanniyakumari,Vasanthakumar. H,GEN,GENERAL,INC,Hand,259933
365,Tamil Nadu,Arakkonam,S. JAGATHRAKSHAKAN,GEN,GENERAL,DMK,Rising Sun,328956
366,Tamil Nadu,Krishnagiri,Dr.A.CHELLAKUMAR,GEN,GENERAL,INC,Hand,156765
367,Tamil Nadu,Dharmapuri,DNV SENTHILKUMAR. S.,GEN,GENERAL,DMK,Rising Sun,70753
368,Tamil Nadu,Tiruvannamalai,ANNADURAI C N,GEN,GENERAL,DMK,Rising Sun,304187
369,Tamil Nadu,Arani,VISHNU PRASAD M K,GEN,GENERAL,INC,Hand,230806
370,Tamil Nadu,Viluppuram,RAVIKUMAR D,SC,SC,DMK,Rising Sun,128068
371,Tamil Nadu,Kallakurichi,Gautham Sigamani Pon,GEN,GENERAL,DMK,Rising Sun,399919
372,Tamil Nadu,Salem,PARTHIBAN.S.R,GEN,GENERAL,DMK,Rising Sun,146926
373,Tamil Nadu,Namakkal,CHINRAJ A.K.P,GEN,GENERAL,DMK,Rising Sun,265151
374,Tamil Nadu,Erode,GANESHAMURTHI A,GEN,GENERAL,DMK,Rising Sun,210618
375,Tamil Nadu,Tiruppur,"SUBBARAYAN, K.",GEN,GENERAL,CPI,Ears of Corn And Sickle,93368
376,Tamil Nadu,Nilgiris ,"RAJA, A.",SC,SC,DMK,Rising Sun,205823
377,Tamil Nadu,Coimbatore,NATARAJAN. P.R,GEN,GENERAL,CPIM,"Hammer, Sickle and Star",179143
378,Tamil Nadu,Pollachi,SHANMUGA SUNDARAM. K,GEN,GENERAL,DMK,Rising Sun,175883
379,Tamil Nadu,Dindigul,"VELUSAMY, P.",GEN,GENERAL,DMK,Rising Sun,538972
380,Tamil Nadu,Karur,Jothimani S,GEN,GENERAL,INC,Hand,420546
381,Tamil Nadu,Tiruchirappalli,Thirunavukkarasar. SU,GEN,GENERAL,INC,Hand,459286
382,Tamil Nadu,Perambalur,"Dr.PAARIVENDHAR, T. R",GEN,GENERAL,DMK,Rising Sun,403518
383,Tamil Nadu,Cuddalore ,T. R. V .S. RAMESH,GEN,GENERAL,DMK,Rising Sun,143983
384,Tamil Nadu,Chidambaram ,THIRUMAAVALAVAN THOL,SC,SC,VCK,Pot,3219
385,Tamil Nadu,Mayiladuthurai,RAMALINGAM. S,GEN,GENERAL,DMK,Rising Sun,261314
386,Tamil Nadu,Nagapattinam ,SELVARAJ M,SC,SC,CPI,Ears of Corn And Sickle,211353
387,Tamil Nadu,Thanjavur,"PALANIMANICKAM,S.S.",GEN,GENERAL,DMK,Rising Sun,368129
388,Tamil Nadu,Sivaganga,KARTI P CHIDAMBARAM,GEN,GENERAL,INC,Hand,332244
389,Tamil Nadu,Madurai,VENKATESAN S,GEN,GENERAL,CPIM,"Hammer, Sickle and Star",139395
390,Tamil Nadu,Theni ,"RAVEENDRANATH KUMAR, P",GEN,GENERAL,ADMK,Two Leaves,76693
391,Tamil Nadu,Vellore,D.M.KATHIR ANAND,GEN,GENERAL,DMK,Rising Sun,8141
392,Tamil Nadu,Virudhunagar,"MANICKAM TAGORE, B.",GEN,GENERAL,INC,Hand,154554
393,Tamil Nadu,Thiruvallur ,Dr.K.Jayakumar,SC,SC,INC,Hand,356955
394,Tamil Nadu,Ramanathapuram,K. NAVASKANI,GEN,GENERAL,IUML,Ladder,127122
395,Tamil Nadu,Chennai North,Dr. KALANIDHI VEERASWAMY,GEN,GENERAL,DMK,Rising Sun,461518
396,Tamil Nadu,Thoothukkudi,KANIMOZHI KARUNANIDHI,GEN,GENERAL,DMK,Rising Sun,347209
397,Tamil Nadu,Chennai South,T.SUMATHY (A) THAMIZHACHI THANGAPANDIAN,GEN,GENERAL,DMK,Rising Sun,262223
398,Telangana,Peddapalle ,Venkatesh Netha Borlakunta,SC,SC,TRS,Car,95180
399,Telangana,Karimnagar ,BANDI SANJAY KUMAR,GEN,GENERAL,BJP,Lotus,89508
400,Telangana,Nizamabad,ARVIND DHARMAPURI,GEN,GENERAL,BJP,Lotus,70875
401,Telangana,Zahirabad,B.B.PATIL,GEN,GENERAL,TRS,Car,6229
402,Telangana,Medak,Kotha Prabhakar Reddy,GEN,GENERAL,TRS,Car,316427
403,Telangana,Malkajgiri,ANUMULA REVANTH REDDY,GEN,GENERAL,INC,Hand,10919
404,Telangana,Secundrabad,G . KISHAN REDDY,GEN,GENERAL,BJP,Lotus,62114
405,Telangana,Hyderabad,ASADUDDIN OWAISI,GEN,GENERAL,AIMIM,Kite,282186
406,Telangana,CHEVELLA,Dr. G. Ranjith Reddy,GEN,GENERAL,TRS,Car,14317
407,Telangana,Mahbubnagar,MANNE SRINIVAS REDDY,GEN,GENERAL,TRS,Car,77829
408,Telangana,Nagarkurnool,POTHUGANTI RAMULU,SC,SC,TRS,Car,189748
409,Telangana,Nalgonda,UTTAM KUMAR REDDY NALAMADA,GEN,GENERAL,INC,Hand,25682
410,Telangana,Bhongir ,Komati Reddy Venkat Reddy,GEN,GENERAL,INC,Hand,5219
411,Telangana,Warangal,DAYAKAR PASUNOORI,SC,SC,TRS,Car,350298
412,Telangana,Mahabubabad  ,Kavitha Malothu,ST,ST,TRS,Car,146663
413,Telangana,Khammam ,NAMA NAGESWR RAO,GEN,GENERAL,TRS,Car,168062
414,Telangana,Adilabad ,SOYAM BAPU RAO,ST,ST,BJP,Lotus,58560
415,Tripura,Tripura West,Pratima Bhoumik,GEN,GENERAL,BJP,Lotus,305689
416,Tripura,Tripura East,Rebati Tripura,ST,ST,BJP,Lotus,204290
417,Uttar Pradesh,Domariyaganj,JAGDAMBIKA PAL,GEN,GENERAL,BJP,Lotus,105321
418,Uttar Pradesh,Kheri,Ajay Kumar,GEN,GENERAL,BJP,Lotus,218807
419,Uttar Pradesh,Basti,HARISH CHANDRA ALIAS HARISH DWIVEDI,GEN,GENERAL,BJP,Lotus,30354
420,Uttar Pradesh,Dhaurahra,REKHA VERMA,GEN,GENERAL,BJP,Lotus,160611
421,Uttar Pradesh,Sant Kabir Nagar,PRAVEEN KUMAR NISHAD,GEN,ST,BJP,Lotus,35749
422,Uttar Pradesh,Sitapur,Rajesh Verma,GEN,GENERAL,BJP,Lotus,100833
423,Uttar Pradesh,Maharajganj,PANKAJ CHOUDHARY,GEN,GENERAL,BJP,Lotus,340424
424,Uttar Pradesh,Hardoi,Jai Prakash,SC,SC,BJP,Lotus,132474
425,Uttar Pradesh,Gorakhpur,Ravindra Shyamnarayan Shukla alias Ravi Kishan,GEN,GENERAL,BJP,Lotus,301664
426,Uttar Pradesh,Misrikh,Ashok Kumar Rawat,SC,SC,BJP,Lotus,100672
427,Uttar Pradesh,Saharanpur,HAJI FAZLUR REHMAN,GEN,GENERAL,BSP,Elephant,22417
428,Uttar Pradesh,Kushi Nagar,VIJAY KUMAR DUBEY,GEN,GENERAL,BJP,Lotus,337560
429,Uttar Pradesh,Unnao,Swami Sakshi Ji Maharaj,GEN,GENERAL,BJP,Lotus,400956
430,Uttar Pradesh,Kairana,Pradeep Kumar,GEN,GENERAL,BJP,Lotus,92160
431,Uttar Pradesh,Deoria,RAMAPATI RAM TRIPATHI,GEN,GENERAL,BJP,Lotus,249931
432,Uttar Pradesh,Mohanlalganj,Kaushal Kishore,SC,SC,BJP,Lotus,90204
433,Uttar Pradesh,Muzaffarnagar,Sanjeev Kumar Balyan,GEN,GENERAL,BJP,Lotus,6526
434,Uttar Pradesh,Bansgaon,Kamlesh Paswan,SC,SC,BJP,Lotus,153468
435,Uttar Pradesh,Lucknow,Rajnath Singh,GEN,GENERAL,BJP,Lotus,347302
436,Uttar Pradesh,Bijnor,MALOOK NAGAR,GEN,GENERAL,BSP,Elephant,69941
437,Uttar Pradesh,Lalganj,Sangeeta Azad,SC,SC,BSP,Elephant,161597
438,Uttar Pradesh,Rae Bareli,SONIA GANDHI,GEN,GENERAL,INC,Hand,167178
439,Uttar Pradesh,Nagina,GIRISH CHANDRA,SC,SC,BSP,Elephant,166832
440,Uttar Pradesh,Azamgarh,Akhilesh Yadav,GEN,GENERAL,SP,Bicycle,259874
441,Uttar Pradesh,Amethi,Smriti Irani,GEN,GENERAL,BJP,Lotus,55120
442,Uttar Pradesh,Sultanpur,MANEKA SANJAI GANDHI,GEN,GENERAL,BJP,Lotus,14526
443,Uttar Pradesh,Moradabad,Dr. S.T. HASAN,GEN,GENERAL,SP,Bicycle,97878
444,Uttar Pradesh,Ghosi,ATUL KUMAR SINGH,GEN,GENERAL,BSP,Elephant,122568
445,Uttar Pradesh,Pratapgarh,SANGAM LAL GUPTA,GEN,GENERAL,BJP,Lotus,117752
446,Uttar Pradesh,Rampur,Mohammad Azam Khan,GEN,GENERAL,SP,Bicycle,109997
447,Uttar Pradesh,Salempur,RAVINDER,GEN,GENERAL,BJP,Lotus,112615
448,Uttar Pradesh,Farrukhabad,Mukesh Rajput,GEN,GENERAL,BJP,Lotus,221702
449,Uttar Pradesh,Sambhal,DR. SHAFIQUR REHMAN BARQ,GEN,GENERAL,SP,Bicycle,174826
450,Uttar Pradesh,Ballia,Virendra Singh,GEN,GENERAL,BJP,Lotus,15519
451,Uttar Pradesh,Etawah,Dr RAM SHANKAR KATHERIA,SC,SC,BJP,Lotus,64437
452,Uttar Pradesh,Amroha,KUNWAR DANISH ALI,GEN,GENERAL,BSP,Elephant,63248
453,Uttar Pradesh,Kannauj,SUBRAT PATHAK,GEN,GENERAL,BJP,Lotus,12353
454,Uttar Pradesh,Meerut,RAJENDRA AGARWAL,GEN,GENERAL,BJP,Lotus,4729
455,Uttar Pradesh,Kanpur,Satyadev Pachauri,GEN,GENERAL,BJP,Lotus,155934
456,Uttar Pradesh,Baghpat,Dr. SATYAPAL SINGH,GEN,GENERAL,BJP,Lotus,23502
457,Uttar Pradesh,Jaunpur,SHYAM SINGH YADAV,GEN,GENERAL,BSP,Elephant,80936
458,Uttar Pradesh,Machhlishahr,Bholanath (B.P. Saroj),SC,SC,BJP,Lotus,181
459,Uttar Pradesh,Akbarpur,Devendra Singh 'Bhole',GEN,GENERAL,BJP,Lotus,275142
460,Uttar Pradesh,Ghaziabad,Vijay Kumar Singh,GEN,GENERAL,BJP,Lotus,501500
461,Uttar Pradesh,Ghazipur,AFZAL ANSARI,GEN,GENERAL,BSP,Elephant,119392
462,Uttar Pradesh,Jalaun,BHANU PRATAP SINGH VERMA,SC,SC,BJP,Lotus,158377
463,Uttar Pradesh,Gautam Buddha Nagar,Dr. MAHESH SHARMA,GEN,GENERAL,BJP,Lotus,336922
464,Uttar Pradesh,Chandauli,Dr. Mahendra Nath Pandey,GEN,GENERAL,BJP,Lotus,13959
465,Uttar Pradesh,Jhansi,Anurag Sharma,GEN,GENERAL,BJP,Lotus,365683
466,Uttar Pradesh,Bulandshahr,BHOLA SINGH,SC,SC,BJP,Lotus,290057
467,Uttar Pradesh,Varanasi,NARENDRA MODI,GEN,GENERAL,BJP,Lotus,479505
468,Uttar Pradesh,Hamirpur,KUNWAR PUSHPENDRA SINGH CHANDEL,GEN,GENERAL,BJP,Lotus,248652
469,Uttar Pradesh,Aligarh,SATISH KUMAR GAUTAM,GEN,GENERAL,BJP,Lotus,229261
470,Uttar Pradesh,Bhadohi,RAMESH CHAND,GEN,GENERAL,BJP,Lotus,43615
471,Uttar Pradesh,Banda,R.K. SINGH PATEL,GEN,GENERAL,BJP,Lotus,58938
472,Uttar Pradesh,Hathras,RAJVIR DILER,SC,SC,BJP,Lotus,260208
473,Uttar Pradesh,Mirzapur,Anupriya Singh Patel,GEN,GENERAL,ADAL,Cup & Saucer,232008
474,Uttar Pradesh,Fatehpur,NIRANJAN JYOTI,GEN,GENERAL,BJP,Lotus,198205
475,Uttar Pradesh,Mathura,HEMA MALINI,GEN,GENERAL,BJP,Lotus,293471
476,Uttar Pradesh,Robertsganj,PAKAURI LAL KOL,SC,SC,ADAL,Cup & Saucer,54336
477,Uttar Pradesh,Kaushambi,VINOD KUMAR SONKAR,SC,SC,BJP,Lotus,38722
478,Uttar Pradesh,Agra,Satyapal Singh Baghel,SC,SC,BJP,Lotus,211546
479,Uttar Pradesh,Phulpur,Keshari Devi Patel,GEN,GENERAL,BJP,Lotus,171968
480,Uttar Pradesh,Fatehpur Sikri,RAJKUMAR CHAHAR,GEN,GENERAL,BJP,Lotus,495065
481,Uttar Pradesh,Allahabad,Rita Bahuguna Joshi,GEN,GENERAL,BJP,Lotus,184275
482,Uttar Pradesh,Firozabad,Dr. Chandra Sen Jadon,GEN,GENERAL,BJP,Lotus,28781
483,Uttar Pradesh,Barabanki,Upendra Singh Rawat,SC,SC,BJP,Lotus,110140
484,Uttar Pradesh,Mainpuri,MULAYAM SINGH YADAV,GEN,GENERAL,SP,Bicycle,94389
485,Uttar Pradesh,Faizabad,LALLU SINGH,GEN,GENERAL,BJP,Lotus,65477
486,Uttar Pradesh,Etah,Rajveer Singh (Raju Bhaiya),GEN,GENERAL,BJP,Lotus,122670
487,Uttar Pradesh,Ambedkar Nagar,Ritesh Pandey,GEN,GENERAL,BSP,Elephant,95880
488,Uttar Pradesh,Badaun,Dr. Sanghmitra Maurya,GEN,GENERAL,BJP,Lotus,18454
489,Uttar Pradesh,Bahraich,AKSHAIBAR LAL,SC,SC,BJP,Lotus,128752
490,Uttar Pradesh,Aonla,DHARMENDRA KASHYAP,GEN,GENERAL,BJP,Lotus,113743
491,Uttar Pradesh,Kaiserganj,Brijbhusan Sharan Singh,GEN,GENERAL,BJP,Lotus,261601
492,Uttar Pradesh,Bareilly,SANTOSH KUMAR GANGWAR,GEN,GENERAL,BJP,Lotus,167282
493,Uttar Pradesh,Shrawasti,RAM SHIROMANI,GEN,GENERAL,BSP,Elephant,5320
494,Uttar Pradesh,Pilibhit,Feroze Varun Gandhi,GEN,GENERAL,BJP,Lotus,255627
495,Uttar Pradesh,Gonda,KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA,GEN,GENERAL,BJP,Lotus,166360
496,Uttar Pradesh,Shahjahanpur,Arun Kumar Sagar,SC,SC,BJP,Lotus,268418
497,Uttarakhand,Tehri Garhwal,MALA RAJYA LAXMI SHAH,GEN,GENERAL,BJP,Lotus,300586
498,Uttarakhand,Garhwal,Tirath Singh Rawat,GEN,GENERAL,BJP,Lotus,302669
499,Uttarakhand,Almora,Ajay Tamta,SC,SC,BJP,Lotus,232986
500,Uttarakhand,Nainital-udhamsingh Nagar,Ajay Bhatt,GEN,GENERAL,BJP,Lotus,339096
501,Uttarakhand,Hardwar,Ramesh Pokhriyal 'Nishank',GEN,GENERAL,BJP,Lotus,258729
502,West Bengal,Birbhum,SATABDI ROY,GEN,GENERAL,AITC,Flowers and Grass,88924
503,West Bengal,Baharampur,ADHIR RANJAN CHOWDHURY,GEN,GENERAL,INC,Hand,80696
504,West Bengal,Murshidabad,ABU TAHER KHAN,GEN,GENERAL,AITC,Flowers and Grass,226417
505,West Bengal,Krishnanagar,MAHUA MOITRA,GEN,GENERAL,AITC,Flowers and Grass,63218
506,West Bengal,Ranaghat,JAGANNATH SARKAR,SC,SC,BJP,Lotus,233428
507,West Bengal,Bangaon,SHANTANU THAKUR,SC,SC,BJP,Lotus,111594
508,West Bengal,Barrackpore,ARJUN SINGH,GEN,GENERAL,BJP,Lotus,14857
509,West Bengal,Dum dum,SOUGATA RAY,GEN,GENERAL,AITC,Flowers and Grass,53002
510,West Bengal,Barasat,Dr. Kakoli Ghoshdastidar,GEN,GENERAL,AITC,Flowers and Grass,110169
511,West Bengal,Basirhat,Nusrat Jahan Ruhi,GEN,GENERAL,AITC,Flowers and Grass,350369
512,West Bengal,Jaynagar,PRATIMA MONDAL,SC,SC,AITC,Flowers and Grass,316775
513,West Bengal,Mathurapur,CHOUDHURY MOHAN JATUA,SC,SC,AITC,Flowers and Grass,203974
514,West Bengal,Diamond harbour,ABHISHEK BANERJEE,GEN,GENERAL,AITC,Flowers and Grass,320594
515,West Bengal,Jadavpur,MIMI CHAKRABORTY,GEN,GENERAL,AITC,Flowers and Grass,295239
516,West Bengal,Kolkata Dakshin,Mala Roy,GEN,GENERAL,AITC,Flowers and Grass,155192
517,West Bengal,Kolkata Uttar,BANDYOPADHYAY SUDIP,GEN,GENERAL,AITC,Flowers and Grass,127095
518,West Bengal,Howrah,Prasun Banerjee,GEN,GENERAL,AITC,Flowers and Grass,103695
519,West Bengal,Uluberia,SAJDA AHMED,GEN,GENERAL,AITC,Flowers and Grass,215359
520,West Bengal,Srerampur,KALYAN BANERJEE,GEN,GENERAL,AITC,Flowers and Grass,98536
521,West Bengal,Hooghly,LOCKET CHATTERJEE,GEN,GENERAL,BJP,Lotus,73362
522,West Bengal,Arambagh,APARUPA PODDAR (AFRIN ALI),SC,SC,AITC,Flowers and Grass,1142
