District,YEAR,Cropped.land.area
Ghaziabad,2016,77898
Ghaziabad,2017,75795
Ghazipur,2011,409164
Ghazipur,2012,409181
Ghazipur,2013,405059
Ghazipur,2014,420179
Ghazipur,2015,410106
Ghazipur,2016,442288
Ghazipur,2017,445438
Gonda,2011,458170
Gonda,2012,462274
Gonda,2013,468090
Gonda,2014,440288
Gonda,2015,442543
Gonda,2016,442677
Gonda,2017,442661
Gorakhpur,2011,379528
Gorakhpur,2012,378783
Gorakhpur,2013,378742
Gorakhpur,2014,376374
Gorakhpur,2015,402131
Gorakhpur,2016,402085
Gorakhpur,2017,388767
Hamirpur,2011,345104
Hamirpur,2012,348799
Hamirpur,2013,363587
Hamirpur,2014,376319
Hamirpur,2015,341263
Hamirpur,2016,381870
Hamirpur,2017,391198
Hardoi,2011,671366
Hardoi,2012,649338
Hardoi,2013,664199
Hardoi,2014,673323
Hardoi,2015,675005
Hardoi,2016,676324
Hardoi,2017,675876
Jalaun,2011,429460
Jalaun,2012,417661
Jalaun,2013,412041
Jalaun,2014,441144
Jalaun,2015,457038
Jalaun,2016,487703
Jalaun,2017,480551
Jaunpur,2011,470759
Jaunpur,2012,470812
Jaunpur,2013,471028
Jaunpur,2014,468849
Jaunpur,2015,469678
Jaunpur,2016,499474
Jaunpur,2017,499478
Jhansi,2011,516087
Jhansi,2012,515792
Jhansi,2013,546994
Jhansi,2014,565457
Jhansi,2015,467776
Jhansi,2016,487565
Jhansi,2017,487657
Amroha,2011,260376
Amroha,2012,262758
Amroha,2013,258977
Amroha,2014,262432
Amroha,2015,279920
Amroha,2016,280143
Amroha,2017,280947
Kannauj,2011,221989
Kannauj,2012,232971
Kannauj,2013,237425
Kannauj,2014,226356
Kannauj,2015,263241
Kannauj,2016,263957
Kannauj,2017,264232
Kanpur Dehat,2011,293395
Kanpur Dehat,2012,293676
Kanpur Dehat,2013,292483
Kanpur Dehat,2014,294727
Kanpur Dehat,2015,315920
Kanpur Dehat,2016,326368
Kanpur Dehat,2017,315591
Kanpur Nagar,2011,266000
Kanpur Nagar,2012,261380
Kanpur Nagar,2013,262262
Kanpur Nagar,2014,261932
Kanpur Nagar,2015,259235
Kanpur Nagar,2016,263779
Kanpur Nagar,2017,263480
Kaushambi,2011,177839
Kaushambi,2012,175553
Kaushambi,2013,174839
Kaushambi,2014,189855
Kaushambi,2015,201690
Kaushambi,2016,201518
Kaushambi,2017,202262
Kheri,2011,705795
Kheri,2012,709331
Kheri,2013,702853
Kheri,2014,692795
Kheri,2015,705291
Kheri,2016,709043
Kheri,2017,707550
Kushi Nagar,2011,343829
Kushi Nagar,2012,347483
Kushi Nagar,2013,345914
Kushi Nagar,2014,334652
Kushi Nagar,2015,340116
Kushi Nagar,2016,340116
Kushi Nagar,2017,340118
Lalitpur,2011,512255
Lalitpur,2012,519755
Lalitpur,2013,545130
Lalitpur,2014,545948
Lalitpur,2015,453260
Lalitpur,2016,495074
Lalitpur,2017,501609
Lucknow,2011,215055
Lucknow,2012,207682
Lucknow,2013,203262
Lucknow,2014,202438
Lucknow,2015,205444
Lucknow,2016,205487
Lucknow,2017,198972
Hathras,2011,235845
Hathras,2012,245530
Hathras,2013,248674
Hathras,2014,247342
Hathras,2015,254582
Hathras,2016,255643
Hathras,2017,255383
Maharajganj,2011,365060
Maharajganj,2012,361664
Maharajganj,2013,361456
Maharajganj,2014,364392
Maharajganj,2015,369253
Maharajganj,2016,369058
Maharajganj,2017,369061
Mahoba,2011,319647
Mahoba,2012,314331
Mahoba,2013,326950
Mahoba,2014,339173
Mahoba,2015,209057
Mahoba,2016,280478
Mahoba,2017,270621
Mainpuri,2011,331685
Mainpuri,2012,333028
Mainpuri,2013,347441
Mainpuri,2014,372423
Mainpuri,2015,328522
Mainpuri,2016,327473
Mainpuri,2017,327749
Mathura,2011,398397
Mathura,2012,400048
Mathura,2013,397611
Mathura,2014,405487
Mathura,2015,404793
Mathura,2016,406234
Mathura,2017,406563
Mau,2011,200542
Mau,2012,203854
Mau,2013,208295
Mau,2014,199843
Mau,2015,198490
Mau,2016,198527
Mau,2017,198338
Meerut,2011,299866
Meerut,2012,300149
Meerut,2013,293284
Meerut,2014,298411
Meerut,2015,301039
Meerut,2016,302313
Meerut,2017,303341
Mirzapur,2011,261889
Mirzapur,2012,254915
Mirzapur,2013,249209
Mirzapur,2014,298061
Mirzapur,2015,300733
Mirzapur,2016,334648
Mirzapur,2017,331232
Moradabad,2011,329951
Moradabad,2012,318360
Moradabad,2013,320686
Moradabad,2014,320670
Moradabad,2015,310990
Moradabad,2016,311679
Moradabad,2017,313021
Muzaffarnagar,2011,330529
Muzaffarnagar,2012,331486
Muzaffarnagar,2013,317769
Muzaffarnagar,2014,317449
Muzaffarnagar,2015,322237
Muzaffarnagar,2016,322237
Muzaffarnagar,2017,322067
Pilibhit,2011,393368
Pilibhit,2012,389459
Pilibhit,2013,391920
Pilibhit,2014,399335
Pilibhit,2015,411690
Pilibhit,2016,411513
Pilibhit,2017,402836
Pratapgarh,2011,303673
Pratapgarh,2012,301672
Pratapgarh,2013,294088
Pratapgarh,2014,345481
Pratapgarh,2015,339788
Pratapgarh,2016,370376
Pratapgarh,2017,372354
Rae Bareli,2011,287792
Rae Bareli,2012,286214
Rae Bareli,2013,363241
Rae Bareli,2014,366186
Rae Bareli,2015,370059
Rae Bareli,2016,369349
Rae Bareli,2017,371477
Rampur,2011,389879
Rampur,2012,366430
Rampur,2013,360185
Rampur,2014,338887
Rampur,2015,352611
Rampur,2016,354265
Rampur,2017,355840
Saharanpur,2011,414280
Saharanpur,2012,413846
Saharanpur,2013,406947
Saharanpur,2014,418375
Saharanpur,2015,427292
Saharanpur,2016,438411
Saharanpur,2017,438393
Sant Kabeer Nagar,2011,205449
Sant Kabeer Nagar,2012,209095
Sant Kabeer Nagar,2013,205535
Sant Kabeer Nagar,2014,193873
Sant Kabeer Nagar,2015,184471
Sant Kabeer Nagar,2016,213871
Siwan,2016,224166
Sant Kabeer Nagar,2017,211118
Bhadohi,2011,97812
Bhadohi,2012,97957
Bhadohi,2013,98790
Bhadohi,2014,102277
Bhadohi,2015,99190
Bhadohi,2016,99911
Bhadohi,2017,101991
Shahjahanpur,2011,620847
Shahjahanpur,2012,600065
Shahjahanpur,2013,604746
Shahjahanpur,2014,570805
Shahjahanpur,2015,577078
Shahjahanpur,2016,606913
Shahjahanpur,2017,607012
Shravasti,2011,182702
Shravasti,2012,197817
Shravasti,2013,192857
Shravasti,2014,188646
Shravasti,2015,195648
Shravasti,2016,195765
Shravasti,2017,191286
Siddharth Nagar,2011,340190
Siddharth Nagar,2012,352141
Siddharth Nagar,2013,353171
Siddharth Nagar,2014,354234
Siddharth Nagar,2015,384040
Siddharth Nagar,2016,385306
Siddharth Nagar,2017,382895
Sitapur,2011,699589
Sitapur,2012,689408
Sitapur,2013,676413
Sitapur,2014,658798
Sitapur,2015,672013
Sitapur,2016,670936
Sitapur,2017,672176
Sonbhadra,2011,190815
Sonbhadra,2012,180130
Sonbhadra,2013,181062
Sonbhadra,2014,204013
Sonbhadra,2015,254581
Sonbhadra,2016,290083
Sonbhadra,2017,291044
Sultanpur,2011,273292
East Siang,2014,NA
Sultanpur,2012,272285
Sultanpur,2013,270763
Sultanpur,2014,278989
Sultanpur,2015,272258
Sultanpur,2016,292244
Sultanpur,2017,292197
Unnao,2011,493728
Unnao,2012,495456
Unnao,2013,499966
Unnao,2014,492250
Unnao,2015,499631
Unnao,2016,503259
Unnao,2017,507608
Varanasi,2011,154951
Varanasi,2012,157817
Varanasi,2013,155171
Varanasi,2014,157823
Varanasi,2015,164699
Varanasi,2016,164657
Varanasi,2017,164479
Kasganj,2011,245376
Kasganj,2012,255672
Kasganj,2013,264608
Kasganj,2014,267838
Kasganj,2015,270499
Kasganj,2016,270745
Kasganj,2017,270962
Amethi,2011,298934
Amethi,2012,299373
Amethi,2013,233091
Amethi,2014,234943
Amethi,2015,238741
Amethi,2016,239845
Amethi,2017,240444
Sambhal,2011,391549
Sambhal,2012,367075
Sambhal,2013,373941
Sambhal,2014,372984
Sambhal,2015,372284
Sambhal,2016,373291
Sambhal,2017,373018
Shamli,2011,163424
Shamli,2012,162053
Shamli,2013,160997
Shamli,2014,160593
Shamli,2015,169759
Shamli,2017,169709
Hapur,2011,143369
Hapur,2012,143694
Hapur,2013,139471
Hapur,2014,142412
Hapur,2015,145460
Hapur,2016,144730
Hapur,2017,142959
Araria,2011,291296
Araria,2012,309153
Araria,2013,277602
Araria,2014,245326
Araria,2015,241125
Araria,2016,238004
Araria,2017,264883
Araria,2018,153028
Aurangabad,2011,304370
Aurangabad,2012,328194
Aurangabad,2013,264918
Aurangabad,2014,289803
Aurangabad,2015,271090
Aurangabad,2016,287060
Aurangabad,2017,287346
Aurangabad,2018,311536
Banka,2011,150258
Banka,2012,148496
Banka,2013,156551
Banka,2014,150820
Banka,2015,151546
Banka,2016,160159
Banka,2017,154633
Banka,2018,160183
Begusarai,2011,173190
Begusarai,2012,172275
Begusarai,2013,171329
Begusarai,2014,154092
Begusarai,2015,169409
Begusarai,2016,168773
Begusarai,2017,157705
Begusarai,2018,177035
Bhagalpur,2011,150781
Bhagalpur,2012,156947
Bhagalpur,2013,158516
Bhagalpur,2014,163519
Bhagalpur,2015,162186
Bhagalpur,2016,155020
Bhagalpur,2017,149286
Bhagalpur,2018,138974
Bhojpur,2011,234611
Bhojpur,2012,221699
Bhojpur,2013,217653
Bhojpur,2014,214238
Bhojpur,2015,209193
Bhojpur,2016,182721
Bhojpur,2017,199263
Bhojpur,2018,218285
Buxar,2011,186795
Buxar,2012,190619
Buxar,2013,194052
Buxar,2014,200593
Buxar,2015,209527
Buxar,2016,203016
Buxar,2017,198596
Buxar,2018,201276
Darbhanga,2011,168523
Darbhanga,2012,166298
Darbhanga,2013,183837
Darbhanga,2014,179330
Darbhanga,2015,179243
Darbhanga,2016,178246
Darbhanga,2017,171924
Darbhanga,2018,171339
Gaya,2011,189745
Gaya,2012,241162
Gaya,2013,175204
Gaya,2014,228310
Gaya,2015,228098
Gaya,2016,214915
Gaya,2017,212869
Gaya,2018,195133
Gopalganj,2011,225198
Gopalganj,2012,223823
Gopalganj,2013,217760
Gopalganj,2014,214933
Gopalganj,2015,210382
Gopalganj,2016,207209
Gopalganj,2017,207387
Gopalganj,2018,149381
Jamui,2011,64920
Jamui,2012,64557
Jamui,2013,68255
Jamui,2014,68997
Jamui,2015,150445
Jamui,2016,141949
Jamui,2017,126168
Jamui,2018,91268
Jehanabad,2011,110004
Jehanabad,2012,112284
Jehanabad,2013,88638
Jehanabad,2014,78233
Jehanabad,2015,78822
Jehanabad,2016,78910
Jehanabad,2017,77317
Jehanabad,2018,75156
Kaimur (Bhabua),2011,202475
Kaimur (Bhabua),2012,205505
Kaimur (Bhabua),2013,218917
Kaimur (Bhabua),2014,207747
Kaimur (Bhabua),2015,204958
Kaimur (Bhabua),2016,219523
Kaimur (Bhabua),2017,202923
Kaimur (Bhabua),2018,209460
Katihar,2011,263500
Katihar,2012,257176
Katihar,2013,257599
Katihar,2014,252461
Katihar,2015,245133
Katihar,2016,267994
Katihar,2017,201324
Katihar,2018,253327
Khagaria,2011,123862
Khagaria,2012,129519
Khagaria,2013,133174
Khagaria,2014,135023
Khagaria,2015,126695
Khagaria,2016,135137
Khagaria,2017,126228
Khagaria,2018,126037
Kishanganj,2011,149301
Kishanganj,2012,150206
Kishanganj,2013,147519
Kishanganj,2014,137121
Kishanganj,2015,139788
Kishanganj,2016,143111
Kishanganj,2017,143860
Kishanganj,2018,143509
Lakhisarai,2011,104188
Lakhisarai,2012,100237
Lakhisarai,2013,72770
Lakhisarai,2014,66827
Lakhisarai,2015,64404
Lakhisarai,2016,71343
East Siang,2015,NA
Lakhisarai,2017,77290
Lakhisarai,2018,91035
Madhepura,2011,203370
Madhepura,2012,202723
Madhepura,2013,195262
Madhepura,2014,193804
Madhepura,2015,205303
Madhepura,2016,181754
Madhepura,2017,187920
Madhepura,2018,182709
Madhubani,2011,301764
Madhubani,2012,313319
Madhubani,2013,316300
Madhubani,2014,343615
Madhubani,2015,342644
Madhubani,2016,341919
Madhubani,2017,340086
Madhubani,2018,331843
Munger,2011,57117
Munger,2012,50323
Munger,2013,49689
Munger,2014,46085
Munger,2015,51649
Munger,2016,48450
Munger,2017,48711
Munger,2018,47273
Muzaffarpur,2011,300384
Muzaffarpur,2012,299058
Muzaffarpur,2013,308360
Muzaffarpur,2014,334218
Muzaffarpur,2015,288208
Muzaffarpur,2016,299713
Muzaffarpur,2017,299602
Muzaffarpur,2018,322315
Nalanda,2011,256531
Nalanda,2012,244780
Nalanda,2013,180157
Nalanda,2014,224998
Nalanda,2015,245337
Nalanda,2016,258459
Nalanda,2017,252203
Nalanda,2018,238343
Nawada,2011,136590
Nawada,2012,131513
Nawada,2013,130325
Nawada,2014,141401
Nawada,2015,127291
Nawada,2016,137933
Nawada,2017,137367
Nawada,2018,129618
Pashchim Champaran,2011,427575
Pashchim Champaran,2012,442145
Pashchim Champaran,2013,435908
Pashchim Champaran,2014,423047
Pashchim Champaran,2015,397210
Pashchim Champaran,2016,399854
Pashchim Champaran,2017,391147
Pashchim Champaran,2018,387626
Patna,2011,197658
Patna,2012,200582
Patna,2013,194925
Patna,2014,202780
Patna,2015,203470
Patna,2016,200055
Patna,2017,218925
Patna,2018,226577
Purbi Champaran,2011,418578
Purbi Champaran,2012,414610
Purbi Champaran,2013,419459
Purbi Champaran,2014,448712
Purbi Champaran,2015,423716
Purbi Champaran,2016,412053
Purbi Champaran,2017,412848
Purbi Champaran,2018,413338
Purnia,2011,240255
Purnia,2012,228602
Purnia,2013,231609
Purnia,2014,209329
Purnia,2015,200262
Purnia,2016,238959
Purnia,2017,194800
Purnia,2018,185915
Rohtas,2011,337721
Rohtas,2012,347178
Rohtas,2013,364860
Rohtas,2014,362578
Rohtas,2015,343313
Rohtas,2016,352680
Rohtas,2017,349792
Rohtas,2018,351855
Saharsa,2011,208565
Saharsa,2012,212113
Saharsa,2013,203141
Saharsa,2014,195742
Saharsa,2015,185696
Saharsa,2016,184815
Saharsa,2017,169324
Saharsa,2018,177928
Samastipur,2011,261468
Samastipur,2012,264465
Samastipur,2013,302067
Samastipur,2014,287198
Samastipur,2015,290640
Samastipur,2016,286363
Samastipur,2017,307829
Samastipur,2018,306364
Saran,2011,209984
Saran,2012,205212
Saran,2013,213221
Saran,2014,209834
Saran,2015,206993
Saran,2016,215861
Saran,2017,191750
Saran,2018,200344
Sheikhpura,2011,63072
Sheikhpura,2012,53334
Sheikhpura,2013,46686
Sheikhpura,2014,61708
Sheikhpura,2015,57232
Sheikhpura,2016,54708
Sheikhpura,2017,60650
Sheikhpura,2018,55914
Sheohar,2011,57161
Sheohar,2012,49769
Sheohar,2013,46509
Sheohar,2014,48922
Sheohar,2015,44704
Sheohar,2016,45396
Sheohar,2017,45629
Sheohar,2018,44631
Sitamarhi,2011,212690
Sitamarhi,2012,241277
Sitamarhi,2013,241487
Sitamarhi,2014,233877
Sitamarhi,2015,232116
Sitamarhi,2016,231461
Sitamarhi,2017,232778
Sitamarhi,2018,233135
Siwan,2011,229652
Siwan,2012,244571
Siwan,2013,233630
Siwan,2014,226931
Siwan,2015,224662
Siwan,2017,226070
Siwan,2018,224847
Supaul,2011,221400
Supaul,2012,226348
Supaul,2013,239476
Supaul,2014,259049
Supaul,2015,236591
Supaul,2016,243267
Supaul,2017,252290
Supaul,2018,239221
Vaishali,2011,168211
Vaishali,2012,181193
Vaishali,2013,175364
Vaishali,2014,185110
Vaishali,2015,176465
Vaishali,2016,177673
Vaishali,2017,181478
Vaishali,2018,178780
Arwal,2011,43993
Arwal,2012,46253
Arwal,2013,47413
Arwal,2014,46641
Arwal,2015,46871
Arwal,2016,65728
Arwal,2017,64980
Arwal,2018,61840
Changlang,2011,NA
Changlang,2012,NA
Changlang,2013,NA
Changlang,2014,24794
Changlang,2015,24403
Changlang,2016,25168
Changlang,2017,25361
Changlang,2018,25502
Dibang Valley,2011,NA
Dibang Valley,2012,NA
Dibang Valley,2013,NA
Dibang Valley,2014,5285
Dibang Valley,2015,5572
Dibang Valley,2016,5868
Dibang Valley,2017,5963
Dibang Valley,2018,6108
East Kameng,2011,NA
East Kameng,2012,NA
East Kameng,2013,NA
East Kameng,2014,NA
East Kameng,2015,NA
East Kameng,2016,NA
East Kameng,2017,NA
East Kameng,2018,NA
East Siang,2011,NA
East Siang,2012,NA
East Siang,2013,NA
East Siang,2018,25522
Kurung Kumey,2011,NA
Kurung Kumey,2012,NA
Kurung Kumey,2013,NA
Kurung Kumey,2014,NA
Kurung Kumey,2015,885
Kurung Kumey,2016,1694
Kurung Kumey,2017,1685
Kurung Kumey,2018,1790
Lohit,2011,NA
Lohit,2012,NA
Lohit,2013,NA
Lohit,2014,NA
Lohit,2015,18485
Lohit,2016,19916
Lohit,2017,20051
Lohit,2018,20099
Lower Dibang Valley,2011,NA
Lower Dibang Valley,2012,NA
Lower Dibang Valley,2013,NA
Lower Dibang Valley,2014,33039
Lower Dibang Valley,2015,35722
Lower Dibang Valley,2016,37178
Lower Dibang Valley,2017,37879
Lower Dibang Valley,2018,37910
Lower Subansiri,2011,NA
Lower Subansiri,2012,NA
Lower Subansiri,2013,NA
Lower Subansiri,2014,NA
Lower Subansiri,2015,NA
Lower Subansiri,2016,NA
Lower Subansiri,2017,NA
Lower Subansiri,2018,12228
Papum Pare,2011,15251
Papum Pare,2012,16516
Papum Pare,2013,17016
Papum Pare,2014,20273
Papum Pare,2015,18984
Papum Pare,2016,20230
Papum Pare,2017,20188
Papum Pare,2018,20289
Tawang,2011,5035
Tawang,2012,4905
Tawang,2013,5594
Tawang,2014,5546
Tawang,2015,5709
Tawang,2016,5968
Tawang,2017,6107
Tawang,2018,6205
Tirap,2011,NA
Tirap,2012,NA
Tirap,2013,NA
Tirap,2015,9501
Tirap,2016,10410
Tirap,2017,10636
Tirap,2018,10765
Upper Siang,2011,NA
Upper Siang,2012,NA
Upper Siang,2013,NA
Upper Siang,2014,11415
Upper Siang,2015,11744
Upper Siang,2016,12062
Upper Siang,2017,12178
Upper Siang,2018,12292
Upper Subansiri,2011,NA
Upper Subansiri,2012,NA
Upper Subansiri,2013,NA
Upper Subansiri,2014,NA
Upper Subansiri,2015,NA
Upper Subansiri,2016,NA
Upper Subansiri,2017,NA
Upper Subansiri,2018,NA
West Kameng,2011,7398
West Kameng,2012,7082
West Kameng,2013,7772
West Kameng,2014,7722
West Kameng,2015,8539
West Kameng,2016,8775
West Kameng,2017,8931
West Kameng,2018,9028
West Siang,2011,NA
West Siang,2012,NA
West Siang,2013,NA
West Siang,2014,NA
West Siang,2015,NA
West Siang,2016,NA
West Siang,2017,NA
West Siang,2018,NA
Anjaw,2011,9780
Anjaw,2012,10233
Anjaw,2013,10923
Anjaw,2014,10954
Anjaw,2015,8784
Anjaw,2016,8959
Anjaw,2017,9037
Anjaw,2018,9144
Longding,2011,NA
Longding,2012,NA
Longding,2013,NA
Longding,2014,9268
Longding,2015,9195
Longding,2016,9618
Longding,2017,9581
Longding,2018,9676
Kra Daadi,2011,NA
Kra Daadi,2015,1176
Kra Daadi,2016,1815
Kra Daadi,2017,1910
Kra Daadi,2018,2004
Namsai,2011,NA
Namsai,2012,NA
Namsai,2013,NA
Namsai,2014,NA
Namsai,2015,28321
Namsai,2016,30014
Namsai,2017,30600
Namsai,2018,30717
Siang,2011,NA
Siang,2012,NA
Siang,2013,NA
Siang,2014,NA
Siang,2015,19300
Siang,2016,16230
Siang,2017,16403
Siang,2018,16543
Kamle,2011,NA
Kamle,2012,NA
Kamle,2013,NA
Kamle,2014,NA
Kamle,2015,NA
Kamle,2016,NA
Kamle,2017,NA
Kamle,2018,7237
Lower Siang,2011,NA
Lower Siang,2012,NA
Lower Siang,2013,NA
Lower Siang,2014,NA
Lower Siang,2015,NA
Lower Siang,2016,NA
Lower Siang,2017,NA
Lower Siang,2018,14454
Pakke Kessang,2011,NA
Pakke Kessang,2012,NA
Pakke Kessang,2013,NA
Pakke Kessang,2014,NA
Pakke Kessang,2015,NA
Pakke Kessang,2016,NA
Pakke Kessang,2017,NA
Pakke Kessang,2018,NA
Leparada,2011,NA
Leparada,2012,NA
Leparada,2013,NA
Leparada,2014,NA
Leparada,2015,NA
Leparada,2016,NA
Leparada,2017,NA
Leparada,2018,NA
Shi Yomi,2011,NA
Shi Yomi,2012,NA
Shi Yomi,2013,NA
Shi Yomi,2014,NA
Shi Yomi,2015,NA
Shi Yomi,2016,NA
Shi Yomi,2017,NA
Shi Yomi,2018,NA
Unknown Districts Of India,2011,243553
Unknown Districts Of India,2012,245837
Unknown Districts Of India,2013,254272
Unknown Districts Of India,2014,170704
Unknown Districts Of India,2015,94792
Unknown Districts Of India,2016,99295
Unknown Districts Of India,2017,99907
Unknown Districts Of India,2018,42382
Dimapur,2011,NA
Dimapur,2012,NA
Dimapur,2013,NA
Dimapur,2014,NA
Dimapur,2015,NA
Dimapur,2016,NA
Dimapur,2017,NA
Kohima,2011,NA
Kohima,2012,NA
Kohima,2013,NA
Kohima,2014,NA
Kohima,2015,NA
Kohima,2016,NA
Kohima,2017,NA
Mokokchung,2011,41932
Mokokchung,2012,44000
Mokokchung,2013,44217
Mokokchung,2014,43940
Mokokchung,2015,44405
Mokokchung,2016,46307
Mokokchung,2017,47802
Mon,2011,47182
Mon,2012,48745
Mon,2013,49922
Mon,2014,50525
Mon,2015,50302
Mon,2016,51492
Mon,2017,51695
Phek,2011,44825
Phek,2012,46005
Phek,2013,47512
Phek,2014,48026
Phek,2015,47591
Phek,2016,50016
Phek,2017,50992
Tuensang,2011,NA
Tuensang,2012,NA
Tuensang,2013,NA
Tuensang,2014,NA
Tuensang,2015,NA
Tuensang,2016,NA
Tuensang,2017,NA
Wokha,2011,44130
Wokha,2012,46065
Wokha,2013,46986
Wokha,2014,45285
Wokha,2015,47227
Wokha,2016,49584
Wokha,2017,50166
Zunheboto,2011,43480
Zunheboto,2012,44800
Zunheboto,2013,46264
Zunheboto,2014,45916
Zunheboto,2015,45523
Zunheboto,2016,47682
Zunheboto,2017,48573
Peren,2011,33025
Peren,2012,34265
Peren,2013,35520
Peren,2014,35665
Peren,2015,36589
Peren,2016,39344
Peren,2017,40694
Kiphire,2011,29745
Kiphire,2012,30820
Kiphire,2013,31800
Kiphire,2014,31908
Kiphire,2015,31328
Kiphire,2016,33403
Kiphire,2017,33695
Longleng,2011,19615
Longleng,2012,20650
Longleng,2013,21204
Longleng,2014,21625
Longleng,2015,22727
Longleng,2016,23081
Longleng,2017,23316
Noklak,2011,NA
Noklak,2012,NA
Noklak,2013,NA
Noklak,2014,NA
Noklak,2015,NA
Noklak,2016,NA
Noklak,2017,NA
Unknown Districts Of India,2011,170405
Unknown Districts Of India,2012,173172
Unknown Districts Of India,2013,175886
Unknown Districts Of India,2014,177183
Unknown Districts Of India,2015,178051
Unknown Districts Of India,2016,180407
Unknown Districts Of India,2017,183169
Aizawl,2011,NA
Aizawl,2012,NA
Aizawl,2013,NA
Aizawl,2014,NA
Champhai,2011,NA
Champhai,2013,NA
Champhai,2014,NA
Kolasib,2011,11930
Kolasib,2012,12880
Kolasib,2013,12788
Kolasib,2014,21438
Lawngtlai,2011,8427
Lawngtlai,2012,11101
Lawngtlai,2013,11515
Lawngtlai,2014,13339
Lunglei,2011,NA
Lunglei,2012,NA
Lunglei,2013,NA
Lunglei,2014,NA
Mamit,2011,13551
Mamit,2012,14294
Mamit,2013,13764
Mamit,2014,17189
Saiha,2011,5421
Saiha,2012,7000
Saiha,2013,6604
Saiha,2014,10978
Serchhip,2011,NA
Serchhip,2012,NA
Serchhip,2013,NA
Serchhip,2014,NA
Hnahthial,2011,NA
Hnahthial,2012,NA
Hnahthial,2013,NA
Hnahthial,2014,NA
Saitual,2011,NA
Saitual,2012,NA
Saitual,2013,NA
Saitual,2014,NA
Khawzawl,2011,NA
Khawzawl,2012,NA
Khawzawl,2013,NA
Khawzawl,2014,NA
Unknown Districts Of India,2011,57953
Unknown Districts Of India,2012,70704
Unknown Districts Of India,2013,69207
Unknown Districts Of India,2014,81757
Dhalai,2011,35076.7274
Dhalai,2012,36829
Dhalai,2013,37245
Dhalai,2014,37697
Dhalai,2015,34189
Dhalai,2016,34531
North Tripura,2011,44471.93111
North Tripura,2012,36955
North Tripura,2013,38458
North Tripura,2014,38977
North Tripura,2015,37034
North Tripura,2016,37405
South Tripura,2011,82770.93226
South Tripura,2012,80553
South Tripura,2013,80575
South Tripura,2014,80421
South Tripura,2015,83006
South Tripura,2016,83837
West Tripura,2011,66542.37419
West Tripura,2012,59941
West Tripura,2013,59948
West Tripura,2014,60729
West Tripura,2015,61439
West Tripura,2016,62054
Khowai,2011,71161.67564
Khowai,2012,56252
Khowai,2013,57311
Khowai,2014,56910
Khowai,2015,57715
Khowai,2016,58293
Sepahijala,2011,70346.95017
Sepahijala,2012,96031
Sepahijala,2013,95276
Sepahijala,2014,99875
Sepahijala,2015,101637
Sepahijala,2016,102655
Gomati,2011,77738.34035
Gomati,2012,76220
Gomati,2013,73697
Gomati,2014,76710
Gomati,2015,78937
Gomati,2016,79727
Unakoti,2011,24384.06889
Unakoti,2012,31588
Unakoti,2013,31989
Unakoti,2014,32169
Unakoti,2015,31720
Unakoti,2016,32038
East Garo Hills,2011,NA
East Garo Hills,2012,NA
East Garo Hills,2013,NA
East Garo Hills,2014,24632
East Garo Hills,2015,24782
East Garo Hills,2016,25087
East Garo Hills,2017,25171
East Garo Hills,2018,25291
East Khasi Hills,2011,45634
East Khasi Hills,2012,45645
East Khasi Hills,2013,48951
East Khasi Hills,2014,46318
East Khasi Hills,2015,42227
East Khasi Hills,2016,43409
East Khasi Hills,2017,43481
East Khasi Hills,2018,44433
West Jaintia Hills,2011,NA
West Jaintia Hills,2012,NA
West Jaintia Hills,2013,NA
West Jaintia Hills,2014,25536
West Jaintia Hills,2015,20039
West Jaintia Hills,2016,20064
West Jaintia Hills,2017,20110
West Jaintia Hills,2018,20202
Ri Bhoi,2011,25195
Ri Bhoi,2012,25233
Ri Bhoi,2013,25224
Ri Bhoi,2014,25713
Ri Bhoi,2015,23135
Ri Bhoi,2016,23773
Ri Bhoi,2017,23827
Ri Bhoi,2018,23962
South Garo Hills,2011,30918
South Garo Hills,2012,30937
South Garo Hills,2013,30723
South Garo Hills,2014,30714
South Garo Hills,2015,23109
South Garo Hills,2016,23801
South Garo Hills,2017,23858
South Garo Hills,2018,23969
West Garo Hills,2011,NA
West Garo Hills,2012,NA
West Garo Hills,2013,NA
West Garo Hills,2014,86211
West Garo Hills,2015,80255
West Garo Hills,2016,81894
West Garo Hills,2017,81984
West Garo Hills,2018,82348
West Khasi Hills,2011,NA
West Khasi Hills,2012,NA
West Khasi Hills,2013,NA
West Khasi Hills,2014,24970
West Khasi Hills,2015,18196
West Khasi Hills,2016,18460
West Khasi Hills,2017,18519
West Khasi Hills,2018,19004
North Garo Hills,2011,NA
North Garo Hills,2012,NA
North Garo Hills,2013,NA
North Garo Hills,2014,20337
North Garo Hills,2015,20193
North Garo Hills,2016,20560
North Garo Hills,2017,20623
North Garo Hills,2018,20929
East Jaintia Hills,2011,NA
East Jaintia Hills,2012,NA
East Jaintia Hills,2013,NA
East Jaintia Hills,2014,11102
East Jaintia Hills,2015,6620
East Jaintia Hills,2016,6731
East Jaintia Hills,2017,6750
East Jaintia Hills,2018,6779
South West Khasi Hills,2011,NA
South West Khasi Hills,2012,NA
South West Khasi Hills,2013,NA
South West Khasi Hills,2014,13120
South West Khasi Hills,2015,9144
South West Khasi Hills,2016,9325
South West Khasi Hills,2017,9350
South West Khasi Hills,2018,9644
South West Garo Hills,2011,NA
