District,YEAR,Cropped.land.area
Jalandhar,2013,414312
Jalandhar,2014,412947
Jalandhar,2015,418197
Jalandhar,2016,411795
Jalandhar,2017,410477
Kapurthala,2011,270786
Kapurthala,2012,269341
Kapurthala,2013,271732
Kapurthala,2014,267159
Kapurthala,2015,266410
Kapurthala,2016,274693
Kapurthala,2017,265796
Ludhiana,2011,598719
Ludhiana,2012,593203
Ludhiana,2013,432315
East Siang,2017,NA
Ludhiana,2014,592502
Ludhiana,2015,599585
Ludhiana,2016,600440
Ludhiana,2017,554868
Mansa,2011,365067
Mansa,2012,365399
Mansa,2013,366367
Mansa,2014,359389
Mansa,2015,367654
Mansa,2016,365415
Mansa,2017,365762
Moga,2011,382361
Moga,2012,383519
Moga,2013,382095
Moga,2014,381367
Moga,2015,388834
Moga,2016,383621
Moga,2017,386425
Sri Muktsar Sahib,2011,454931
Sri Muktsar Sahib,2012,455108
Sri Muktsar Sahib,2013,445296
Sri Muktsar Sahib,2014,447489
Sri Muktsar Sahib,2015,452594
Sri Muktsar Sahib,2016,452618
Sri Muktsar Sahib,2017,452363
Shahid Bhagat Singh Nagar,2011,184871
Shahid Bhagat Singh Nagar,2012,191428
Shahid Bhagat Singh Nagar,2013,185641
Shahid Bhagat Singh Nagar,2014,187708
Shahid Bhagat Singh Nagar,2015,186932
Shahid Bhagat Singh Nagar,2016,186294
Shahid Bhagat Singh Nagar,2017,177770
Patiala,2011,518931
Patiala,2012,511761
Patiala,2013,512822
Patiala,2014,512156
Patiala,2015,513161
Patiala,2016,512786
Patiala,2017,510937
Rupnagar,2011,144786
Rupnagar,2012,145516
Rupnagar,2013,146583
Rupnagar,2014,141978
Rupnagar,2015,137884
Rupnagar,2016,138530
Rupnagar,2017,147909
Sangrur,2011,491390.0871
Champawat,2015,26182
Tirap,2014,NA
Sangrur,2012,488237.2736
Sangrur,2013,504366.5533
Sangrur,2014,501156.9465
Sangrur,2015,490666.7621
Sangrur,2016,491216.5522
Sangrur,2017,494673.0518
Barnala,2011,262558
Barnala,2012,246928
Barnala,2013,246990
Barnala,2014,248570
Barnala,2015,248425
Barnala,2016,245546
Barnala,2017,243939
S.A.S Nagar,2011,121659
S.A.S Nagar,2012,121523
S.A.S Nagar,2013,108689
S.A.S Nagar,2014,106201
S.A.S Nagar,2015,98663
S.A.S Nagar,2016,105964
S.A.S Nagar,2017,99234
Tarn Taran,2011,396444
Tarn Taran,2012,397226
Tarn Taran,2013,400804
Tarn Taran,2014,394413
Tarn Taran,2015,395299
Tarn Taran,2016,393242
Tarn Taran,2017,399241
Fazilka,2011,348234
Fazilka,2012,392311
Fazilka,2013,442477
Fazilka,2014,475370
Fazilka,2015,487657
Fazilka,2016,473019
Fazilka,2017,478704
Pathankot,2011,90698
Pathankot,2012,92528
Pathankot,2013,117936
Pathankot,2014,93633
Pathankot,2015,91345
Pathankot,2016,91761
Pathankot,2017,93013
Champawat,2016,26854
Kra Daadi,2012,NA
Malerkotla,2011,131572.9129
Malerkotla,2012,130728.7264
Malerkotla,2013,135047.4467
Malerkotla,2014,134188.0535
Malerkotla,2015,131379.2379
Malerkotla,2016,131526.4478
Malerkotla,2017,132451.9482
Chandigarh,2011,1712
Chandigarh,2012,1709
Chandigarh,2013,1717
Chandigarh,2014,1843
Almora,2011,119684
Almora,2012,119241
Almora,2013,114832
Almora,2014,117230
Almora,2015,115796
Almora,2016,112350
Almora,2017,105978
Almora,2018,97142
Bageshwar,2011,39778
Bageshwar,2012,41475
Bageshwar,2013,40688
Bageshwar,2014,39755
Bageshwar,2015,39710
Bageshwar,2016,39925
Bageshwar,2017,42599
Bageshwar,2018,39876
Chamoli,2011,47370
Chamoli,2012,49952
Chamoli,2013,48669
Chamoli,2014,46717
Chamoli,2015,47408
Chamoli,2016,49189
Chamoli,2017,49212
Chamoli,2018,47184
Champawat,2011,32971
Champawat,2012,27220
Champawat,2013,26624
Champawat,2014,26487
Champawat,2017,25789
Champawat,2018,25068
Dehradun,2011,63435
Dehradun,2012,62307
Dehradun,2013,59533
Dehradun,2014,58983
Dehradun,2015,57134
Dehradun,2016,57323
Dehradun,2017,55351
Dehradun,2018,51830
Haridwar,2011,162083
Haridwar,2012,159986
Haridwar,2013,163311
Haridwar,2014,161681
Haridwar,2015,162615
Haridwar,2016,162114
Haridwar,2017,160084
Haridwar,2018,160494
Nainital,2011,75028
Nainital,2012,73632
Nainital,2013,74177
Nainital,2014,71591
Nainital,2015,71849
Nainital,2016,70766
Nainital,2017,69301
Nainital,2018,67317
Pauri Garhwal,2011,98105
Pauri Garhwal,2012,95713
Pauri Garhwal,2013,91331
Pauri Garhwal,2014,93294
Pauri Garhwal,2015,82364
Pauri Garhwal,2016,83724
Pauri Garhwal,2017,71270
Pauri Garhwal,2018,64737
Pithoragarh,2011,73853
Pithoragarh,2012,73538
Pithoragarh,2013,71672
Pithoragarh,2014,71265
Pithoragarh,2015,71368
Pithoragarh,2016,70080
Pithoragarh,2017,68884
Pithoragarh,2018,65331
Rudra Prayag,2011,30302
Rudra Prayag,2012,32211
Rudra Prayag,2013,30058
Rudra Prayag,2014,31442
Rudra Prayag,2015,31410
Rudra Prayag,2016,31128
