Dist Code,Year,State Code,State,District,CANALS AREA (1000 ha),TANKS AREA (1000 ha),TUBE WELLS AREA (1000 ha),OTHER WELLS AREA (1000 ha),TOTAL WELLS AREA (1000 ha),OTHER SOURCES AREA (1000 ha),NET AREA (1000 ha),GROSS AREA (1000 ha)
1,2000,14,Chhattisgarh,Durg,140.29,12.24,49.62,9.3,58.91,23.59,235.03,266.78
1,2001,14,Chhattisgarh,Durg,204.12,12.03,54.73,7.41,62.12,25.72,304.02,341.55
1,2002,14,Chhattisgarh,Durg,164.84,8.61,60.08,8.11,68.19,25.36,266.99,302.77
1,2003,14,Chhattisgarh,Durg,175.33,7.95,56.24,7.36,63.6,23.08,269.95,313.63
1,2004,14,Chhattisgarh,Durg,189.88,15.71,76.83,6.55,83.37,20.97,309.95,368.27
1,2005,14,Chhattisgarh,Durg,195.78,11.05,84.2,5.92,90.11,21.18,318.12,384.85
1,2006,14,Chhattisgarh,Durg,194.2,10.05,98.69,5.71,104.39,20.89,329.54,410.76
1,2007,14,Chhattisgarh,Durg,204.76,11.61,101.57,4.92,106.48,22.16,345,439.49
1,2008,14,Chhattisgarh,Durg,181.87,8.71,118.15,4.53,122.68,21.35,334.59,437.93
1,2009,14,Chhattisgarh,Durg,160.96,7.65,131.02,4.01,135.04,15.11,318.75,412.81
1,2010,14,Chhattisgarh,Durg,187.09,7.31,131.68,4.25,135.93,14.32,344.65,462.9
1,2011,14,Chhattisgarh,Durg,192.08,0,143.04,3.58,146.62,7.38,346.08,481.57
1,2012,14,Chhattisgarh,Durg,195.14,9.86,153.83,3.3,157.15,10.46,372.6,506.04
1,2013,14,Chhattisgarh,Durg,197.4,10.73,161.84,3.32,165.15,8.12,381.39,535.27
1,2014,14,Chhattisgarh,Durg,194.59,8.98,274.78,3.31,278.09,7.03,488.69,691.32
1,2015,14,Chhattisgarh,Durg,113.18,4.56,104.18,4.7,108.9,11.97,238.61,321.33
1,2016,14,Chhattisgarh,Durg,186.46,10.33,204.22,3.46,207.69,10.71,415.18,600.62
2,2000,14,Chhattisgarh,Bastar,6.36,8.94,1.37,2.31,3.68,7.04,26.02,26.02
2,2001,14,Chhattisgarh,Bastar,7.08,9.08,0.52,2.45,2.97,9.72,29.12,30.17
2,2002,14,Chhattisgarh,Bastar,6.83,8.37,6.16,2.26,8.42,5.59,29.2,29.2
2,2003,14,Chhattisgarh,Bastar,10.36,4.81,6.04,2,8.05,6.62,29.82,29.82
2,2004,14,Chhattisgarh,Bastar,10.5,5.28,7.06,1.93,8.99,6.8,31.58,31.58
2,2005,14,Chhattisgarh,Bastar,12.01,5.3,6.81,1.91,8.72,7.69,33.71,33.71
2,2006,14,Chhattisgarh,Bastar,11.58,5.09,7.12,1.88,9,9.78,35.43,35.43
2,2007,14,Chhattisgarh,Bastar,9.13,8.31,7.79,1.62,9.4,9.77,36.61,36.67
2,2008,14,Chhattisgarh,Bastar,9.69,8.18,7.49,1.67,9.15,10.13,37.16,37.16
2,2009,14,Chhattisgarh,Bastar,9.28,8.05,7.94,1.75,9.68,10.7,37.69,37.69
2,2010,14,Chhattisgarh,Bastar,8.25,8.33,9.4,1.62,11.02,13.54,41.13,41.13
2,2011,14,Chhattisgarh,Bastar,8.88,1.85,8.43,1.41,9.84,17.32,37.88,42.72
2,2012,14,Chhattisgarh,Bastar,9.74,6.99,15.29,1.4,16.68,10.75,44.16,44.16
2,2013,14,Chhattisgarh,Bastar,8.75,7.19,24.22,1.23,25.42,5.79,47.16,47.16
2,2014,14,Chhattisgarh,Bastar,21.69,7.25,111.78,43.78,155.55,6.03,190.51,275.16
2,2015,14,Chhattisgarh,Bastar,87.53,6.13,52.19,1.42,53.61,5.17,152.42,172.47
2,2016,14,Chhattisgarh,Bastar,6.28,6.85,19.03,0.88,19.9,5.27,38.3,50.45
3,2000,14,Chhattisgarh,Raipur,280.6,18.36,41,12.66,53.64,17.61,370.23,376.65
3,2001,14,Chhattisgarh,Raipur,352.85,20.96,44.52,11.07,55.6,16.34,445.74,454.06
3,2002,14,Chhattisgarh,Raipur,304.07,21.53,46.78,9.81,56.59,20.32,402.49,412.79
3,2003,14,Chhattisgarh,Raipur,316.87,19.8,48.69,8.83,57.52,13.38,407.57,425.78
3,2004,14,Chhattisgarh,Raipur,340.48,19.85,63.36,8.79,72.15,16.51,448.98,465.48
3,2005,14,Chhattisgarh,Raipur,352.25,19.43,64.74,6.9,71.64,16.58,459.89,487.36
3,2006,14,Chhattisgarh,Raipur,359.09,20.14,63.14,7.15,70.3,17.28,466.79,524.84
3,2007,14,Chhattisgarh,Raipur,373.13,19.42,71.49,5.72,77.21,15.2,484.95,547.66
3,2008,14,Chhattisgarh,Raipur,365.64,19.5,90.05,5.18,95.23,15,495.37,516.63
3,2009,14,Chhattisgarh,Raipur,361.06,18.89,85.98,4.9,90.86,13.46,484.27,516.98
3,2010,14,Chhattisgarh,Raipur,355.22,16.14,86.02,4.66,90.68,16.58,478.61,565.86
3,2011,14,Chhattisgarh,Raipur,365.02,0,101.76,3.77,105.54,15.72,486.26,547.77
3,2012,14,Chhattisgarh,Raipur,366.81,14.03,119.38,3.63,123,16,519.84,596.26
3,2013,14,Chhattisgarh,Raipur,366.82,13.84,116.51,3.71,120.21,14.82,515.67,604.58
3,2014,14,Chhattisgarh,Raipur,360.18,13.44,116.39,3.43,119.82,14.24,507.67,617.93
3,2015,14,Chhattisgarh,Raipur,304.48,18.31,188.97,2.18,191.16,10.6,524.53,641.09
3,2016,14,Chhattisgarh,Raipur,356.81,12.56,135.64,3.27,138.9,15.65,523.91,617.08
4,2000,14,Chhattisgarh,Bilaspur,217.62,9.66,26.53,5.84,32.37,7.17,266.81,280.31
4,2001,14,Chhattisgarh,Bilaspur,236.06,9.21,22.2,8.86,31.07,8.12,284.45,303.4
4,2002,14,Chhattisgarh,Bilaspur,224.61,9.64,27.94,9.11,37.04,7.64,278.92,298.57
4,2003,14,Chhattisgarh,Bilaspur,227.62,9.11,26.16,7.61,33.77,6.29,276.81,298.19
4,2004,14,Chhattisgarh,Bilaspur,254.25,9.43,24.86,11.31,36.18,12.28,312.14,333.17
4,2005,14,Chhattisgarh,Bilaspur,278.87,9.14,23.97,9.48,33.44,5.63,327.1,351.48
4,2006,14,Chhattisgarh,Bilaspur,281.87,9.12,28.59,9.82,38.4,6.42,335.82,392.33
4,2007,14,Chhattisgarh,Bilaspur,290.54,9.56,38.38,7.35,45.72,5.89,351.7,377.08
4,2008,14,Chhattisgarh,Bilaspur,296.61,7.97,37.92,7.27,45.19,5.93,355.73,422.49
4,2009,14,Chhattisgarh,Bilaspur,305.21,8.78,38.06,6.14,44.19,6.32,364.51,394.51
4,2010,14,Chhattisgarh,Bilaspur,313.2,6.88,39.36,6.42,45.78,5.9,371.75,407.43
4,2011,14,Chhattisgarh,Bilaspur,271.07,0,96.24,2.98,99.22,5.86,376.16,441.64
4,2012,14,Chhattisgarh,Bilaspur,271.03,12.08,96.86,2.48,99.34,5.82,388.28,443.01
4,2013,14,Chhattisgarh,Bilaspur,268.69,11.52,101.89,2.16,104.04,4.44,388.69,422.6
4,2014,14,Chhattisgarh,Bilaspur,311.21,6.01,54.5,3.74,58.23,3.99,379.44,426.83
4,2015,14,Chhattisgarh,Bilaspur,262.26,6.53,45.41,3.84,49.23,6.64,324.68,365.7
4,2016,14,Chhattisgarh,Bilaspur,315.33,4.43,51.58,3.75,55.33,3.78,378.84,435.22
5,2000,14,Chhattisgarh,Raigarh,21.74,1.82,12.32,2.69,15.01,9.1,48.18,53.1
5,2001,14,Chhattisgarh,Raigarh,22.05,5.16,16.24,2.74,18.98,6.82,53.02,55
5,2002,14,Chhattisgarh,Raigarh,22.32,5.39,16.82,2.99,19.81,7.12,54.63,57.59
5,2003,14,Chhattisgarh,Raigarh,24.55,5.86,21.37,2.9,24.28,8.54,63.22,65.79
5,2004,14,Chhattisgarh,Raigarh,21.01,5.68,24.13,2.91,27.03,8.39,62.06,67.24
5,2005,14,Chhattisgarh,Raigarh,22.28,5.13,25.44,2.87,28.31,9.3,65.03,69.66
5,2006,14,Chhattisgarh,Raigarh,26.57,5.44,24.73,2.82,27.55,8.42,68,71.71
5,2007,14,Chhattisgarh,Raigarh,24.04,4.72,30.96,3.6,34.56,6.63,69.94,72.23
5,2008,14,Chhattisgarh,Raigarh,21.41,4.79,32.73,2.88,35.61,8.23,70.05,72.68
5,2009,14,Chhattisgarh,Raigarh,22.51,4.92,31.81,2.66,34.48,9.03,70.94,75.33
5,2010,14,Chhattisgarh,Raigarh,22.15,4.81,31.81,2.59,34.41,9.48,70.85,74.88
5,2011,14,Chhattisgarh,Raigarh,21.95,0,32.04,2.37,34.4,10.11,66.45,78.12
5,2012,14,Chhattisgarh,Raigarh,21.5,4.57,31.6,2.56,34.16,9.88,70.1,77.32
5,2013,14,Chhattisgarh,Raigarh,21.46,4.59,31.51,2.61,34.12,10.04,70.22,77.89
5,2014,14,Chhattisgarh,Raigarh,23.27,4.48,32.11,2.57,34.68,9.71,72.14,80.53
5,2015,14,Chhattisgarh,Raigarh,23.17,4.53,31.97,2.64,34.6,9.39,71.69,79.72
5,2016,14,Chhattisgarh,Raigarh,23.23,4.92,32.46,2.75,35.22,10.85,74.22,82.82
6,2000,14,Chhattisgarh,Surguja,11.32,3.67,0.33,6.52,6.84,16.59,37.5,39.69
6,2001,14,Chhattisgarh,Surguja,12.57,1.84,0.35,6.42,6.77,17.38,38.56,42.4
6,2002,14,Chhattisgarh,Surguja,12.39,1.93,0.38,6.63,7,19.27,40.59,42.98
6,2003,14,Chhattisgarh,Surguja,14.04,2.18,0.97,6.91,7.88,19.05,43.13,45.88
6,2004,14,Chhattisgarh,Surguja,13.88,2.08,1.1,7.47,8.57,18.87,43.38,46.64
6,2005,14,Chhattisgarh,Surguja,14.86,2.56,0.96,7.68,8.63,18.4,44.47,48.42
6,2006,14,Chhattisgarh,Surguja,14.27,2.25,1.11,7.49,8.59,21.61,46.71,50.57
6,2007,14,Chhattisgarh,Surguja,12.25,2.16,1.32,7.48,8.79,22.57,45.78,48.84
6,2008,14,Chhattisgarh,Surguja,11.83,2.06,1.92,6.77,8.68,23.77,46.33,50.16
6,2009,14,Chhattisgarh,Surguja,10.68,2.12,1.75,7.36,9.09,24.76,46.65,49.76
6,2010,14,Chhattisgarh,Surguja,10.2,2.16,1.63,6.56,8.19,28.75,49.29,52.39
6,2011,14,Chhattisgarh,Surguja,14.08,0,1.84,5.58,7.42,28.4,49.9,55.84
6,2012,14,Chhattisgarh,Surguja,12.46,1.7,2.2,7.06,9.26,30.67,54.09,58.26
6,2013,14,Chhattisgarh,Surguja,10.91,1.75,3.16,6.15,9.31,37.11,59.08,63.7
6,2014,14,Chhattisgarh,Surguja,12.07,2.43,3.31,6.2,9.5,32.38,56.39,63.98
6,2015,14,Chhattisgarh,Surguja,97.56,2.36,20.46,3.24,23.69,22.79,146.39,152.69
6,2016,14,Chhattisgarh,Surguja,12.81,2.25,2.49,6.98,9.44,30.83,55.33,59.52
7,2000,6,Madhya Pradesh,Jabalpur,13.25,0.6,49.84,52.63,102.47,28.35,144.67,156.71
7,2001,6,Madhya Pradesh,Jabalpur,18.88,0.4,40.48,49.75,90.22,46.67,156.17,169.73
7,2002,6,Madhya Pradesh,Jabalpur,15.78,0.49,52.38,51.42,103.81,32.55,152.62,177.62
7,2003,6,Madhya Pradesh,Jabalpur,20.7,1.83,54.87,46.91,101.77,33.74,158.05,179.72
7,2004,6,Madhya Pradesh,Jabalpur,16.67,0.73,56.41,48.21,104.62,37.32,159.32,186.26
7,2005,6,Madhya Pradesh,Jabalpur,17.75,0.79,61.71,49.97,111.67,37.33,167.55,195.46
7,2006,6,Madhya Pradesh,Jabalpur,17.5,0.75,67.97,49.58,117.54,30.82,166.61,193.1
7,2007,6,Madhya Pradesh,Jabalpur,20.71,0.9,66.2,50.61,116.81,29.01,167.42,192
7,2008,6,Madhya Pradesh,Jabalpur,19.83,1.18,73.01,55,128.02,40.85,189.87,222.84
7,2009,6,Madhya Pradesh,Jabalpur,18.59,1.11,84.22,56.95,141.16,39.45,200.32,224.18
7,2010,6,Madhya Pradesh,Jabalpur,18.33,1.1,91.66,55.42,147.08,48.05,214.56,240.95
7,2011,6,Madhya Pradesh,Jabalpur,20.61,1.48,100.6,58.45,159.05,55.7,236.84,280.49
7,2012,6,Madhya Pradesh,Jabalpur,27.22,2,113.39,61.6,174.97,59.19,263.39,319.13
7,2013,6,Madhya Pradesh,Jabalpur,29.01,4.64,127.01,72.2,199.2,71.95,304.8,356.45
7,2014,6,Madhya Pradesh,Jabalpur,31.21,4.89,131.18,81.45,212.63,74.33,323.06,388.71
7,2015,6,Madhya Pradesh,Jabalpur,29.72,2.34,135.24,73.77,209.01,72.79,313.87,382.86
7,2016,6,Madhya Pradesh,Jabalpur,56.99,2.28,130.54,66.29,196.83,70.62,326.7,423.83
7,2017,6,Madhya Pradesh,Jabalpur,68.2,2.52,160.69,80.01,240.71,78.86,390.28,495.06
8,2000,6,Madhya Pradesh,Balaghat,74.29,26.03,0.05,17.52,17.57,4,121.89,136.26
8,2001,6,Madhya Pradesh,Balaghat,73.43,26.35,0.32,18.87,19.19,5.01,123.98,142.45
8,2002,6,Madhya Pradesh,Balaghat,70.55,28.31,0.28,18.82,19.1,5.06,123.02,139.62
8,2003,6,Madhya Pradesh,Balaghat,74.35,25.92,0.24,16.63,16.87,5.81,122.94,142.62
8,2004,6,Madhya Pradesh,Balaghat,70.47,18.13,0.29,14.57,14.86,4.35,107.82,119.95
8,2005,6,Madhya Pradesh,Balaghat,74.66,25.95,0.04,16.94,16.98,5.24,122.82,141.6
8,2006,6,Madhya Pradesh,Balaghat,73.64,25.47,0.1,20.59,20.69,4.92,124.72,141.47
8,2007,6,Madhya Pradesh,Balaghat,73.75,25.34,0.26,20.45,20.71,4.23,124.02,142.51
8,2008,6,Madhya Pradesh,Balaghat,73.72,26.44,0.84,20.36,21.2,6.28,127.63,145.5
8,2009,6,Madhya Pradesh,Balaghat,70.61,26.12,0.84,19.71,20.55,6.18,123.46,145.06
8,2010,6,Madhya Pradesh,Balaghat,72.92,26.52,1.03,20.69,21.72,6.82,127.99,148
8,2011,6,Madhya Pradesh,Balaghat,74.9,29.02,1.07,23.12,24.19,7.79,135.9,158.3
8,2012,6,Madhya Pradesh,Balaghat,75.57,29.53,1.09,24.66,25.74,8.53,139.38,164.48
8,2013,6,Madhya Pradesh,Balaghat,81.38,10.78,0.94,38.75,39.69,5.65,137.5,162.69
8,2014,6,Madhya Pradesh,Balaghat,84.91,12.05,1.42,36.72,38.14,8.16,143.25,167.02
8,2015,6,Madhya Pradesh,Balaghat,80.94,13,2.43,44.23,46.66,9.56,150.15,172.45
8,2016,6,Madhya Pradesh,Balaghat,86.46,19.8,7.39,26.25,33.64,12.32,152.21,176.91
8,2017,6,Madhya Pradesh,Balaghat,79.97,22.9,6.61,22.66,29.27,12.51,144.64,170.66
9,2000,6,Madhya Pradesh,Chhindwara,3.36,0.94,14.25,66.37,80.62,4.71,89.62,95.09
9,2001,6,Madhya Pradesh,Chhindwara,4.49,0.82,16.19,55.33,71.52,5.17,81.99,87.3
9,2002,6,Madhya Pradesh,Chhindwara,9.95,1.31,18.58,57.96,76.54,5.51,93.31,102.77
9,2003,6,Madhya Pradesh,Chhindwara,10.5,2.35,17.47,75.05,92.52,7.03,112.4,121.48
9,2004,6,Madhya Pradesh,Chhindwara,10.13,1.89,18.54,75.11,93.65,7.34,113.02,122.39
9,2005,6,Madhya Pradesh,Chhindwara,9.79,2.67,22.97,70.61,93.58,4.85,110.89,133.7
9,2006,6,Madhya Pradesh,Chhindwara,10.75,4.23,29.87,76.11,105.98,5.84,126.81,150.41
9,2007,6,Madhya Pradesh,Chhindwara,11.46,4.49,32.73,78.44,111.17,6.35,133.48,156.64
9,2008,6,Madhya Pradesh,Chhindwara,5.77,2.88,28.01,80.95,108.96,8.98,126.59,131.68
9,2009,6,Madhya Pradesh,Chhindwara,9.75,5.23,33.5,90.45,123.95,14.35,153.28,158.48
9,2010,6,Madhya Pradesh,Chhindwara,12.25,7.37,32.12,99.61,131.73,18.36,169.69,169.69
9,2011,6,Madhya Pradesh,Chhindwara,14.21,4.6,40.4,109.75,150.15,19.31,188.26,188.26
9,2012,6,Madhya Pradesh,Chhindwara,14.56,5.14,51.48,118.24,169.72,15.52,204.93,204.93
9,2013,6,Madhya Pradesh,Chhindwara,14.08,8.4,51.03,125.23,176.27,21.38,220.14,220.14
9,2014,6,Madhya Pradesh,Chhindwara,15.3,8.78,54.54,130.06,184.61,16.71,225.4,225.4
9,2015,6,Madhya Pradesh,Chhindwara,15.3,8.39,55.01,129.42,184.42,16.71,224.83,224.83
9,2016,6,Madhya Pradesh,Chhindwara,17.08,4.7,48.41,142.79,191.2,7.49,220.47,220.47
9,2017,6,Madhya Pradesh,Chhindwara,25.44,4.71,50.36,155.35,205.71,9.48,245.35,245.35
10,2000,6,Madhya Pradesh,Narsinghpur,1.34,0.06,62.13,98.05,160.18,7.84,169.42,169.42
10,2001,6,Madhya Pradesh,Narsinghpur,1.28,0.05,62.56,97.49,160.05,7.94,169.33,171.29
10,2002,6,Madhya Pradesh,Narsinghpur,1.08,0.01,65.67,94.48,160.15,7.31,168.54,170.33
10,2003,6,Madhya Pradesh,Narsinghpur,1.06,0.01,70.94,91.07,162.01,7.23,170.31,171.7
10,2004,6,Madhya Pradesh,Narsinghpur,1.01,0.01,71.49,93.03,164.52,5.72,171.26,172.6
10,2005,6,Madhya Pradesh,Narsinghpur,1.1,0.01,74.14,92.16,166.3,6.89,174.3,175.53
10,2006,6,Madhya Pradesh,Narsinghpur,1.1,0.01,76.54,92.77,169.31,7.35,177.76,178.49
10,2007,6,Madhya Pradesh,Narsinghpur,1.11,0.01,83.16,88.84,172,6.17,179.29,184.64
10,2008,6,Madhya Pradesh,Narsinghpur,0.89,0.01,122.56,51.3,173.86,5.25,180,184.36
10,2009,6,Madhya Pradesh,Narsinghpur,0.91,0.01,126.2,50.42,176.62,5.51,183.04,187.4
10,2010,6,Madhya Pradesh,Narsinghpur,0.92,0.01,126.45,49.97,176.42,5.8,183.14,185.83
10,2011,6,Madhya Pradesh,Narsinghpur,0.94,0.01,148.03,43.46,191.49,5.91,198.35,201.11
10,2012,6,Madhya Pradesh,Narsinghpur,3.71,0.01,153.99,44.81,198.8,7.45,209.96,213
10,2013,6,Madhya Pradesh,Narsinghpur,3.71,0.01,195.17,44.81,239.98,7.54,251.23,254.83
10,2014,6,Madhya Pradesh,Narsinghpur,8.84,0.01,181.12,37.23,218.35,19.39,246.58,281.33
10,2015,6,Madhya Pradesh,Narsinghpur,8.88,0.01,216.38,37.06,253.44,19.25,281.57,314.35
10,2016,6,Madhya Pradesh,Narsinghpur,8.88,0.01,234.39,36.96,271.35,19.25,299.48,299.83
10,2017,6,Madhya Pradesh,Narsinghpur,8.88,0.01,230.11,36.96,267.07,19.25,295.21,297.24
11,2000,6,Madhya Pradesh,Seoni / Shivani,38.26,7.29,0.53,23.48,24.01,9.59,79.15,79.15
11,2001,6,Madhya Pradesh,Seoni / Shivani,42.73,7.16,0.81,27.03,27.84,9.44,87.17,87.17
11,2002,6,Madhya Pradesh,Seoni / Shivani,45.95,7.65,1.38,28.19,29.57,10.59,93.75,93.75
11,2003,6,Madhya Pradesh,Seoni / Shivani,49.24,6.83,1.54,29.82,31.36,9.39,96.82,96.82
11,2004,6,Madhya Pradesh,Seoni / Shivani,49.23,5.93,1.77,29.16,30.93,10.91,97,97
11,2005,6,Madhya Pradesh,Seoni / Shivani,56.03,7.71,2.9,30.49,33.39,13.39,110.51,110.51
11,2006,6,Madhya Pradesh,Seoni / Shivani,56.75,8.89,2.98,31.82,34.8,13.24,113.68,113.68
11,2007,6,Madhya Pradesh,Seoni / Shivani,64.73,9.15,3.72,33.4,37.12,14.04,125.04,125.04
11,2008,6,Madhya Pradesh,Seoni / Shivani,56.93,7.81,4.98,33.59,38.57,13.08,116.38,116.38
11,2009,6,Madhya Pradesh,Seoni / Shivani,57.14,8.32,4.48,36.87,41.35,14.51,121.32,121.32
11,2010,6,Madhya Pradesh,Seoni / Shivani,59.73,9.06,5.74,40.17,45.91,17.45,132.15,132.15
11,2011,6,Madhya Pradesh,Seoni / Shivani,62.77,9.58,6.23,44.89,51.12,17.93,141.39,141.39
11,2012,6,Madhya Pradesh,Seoni / Shivani,68.66,11.02,11.53,46.94,58.47,23.32,161.47,161.47
11,2013,6,Madhya Pradesh,Seoni / Shivani,85.57,12.06,15.92,49.49,65.41,25.02,188.06,188.06
11,2014,6,Madhya Pradesh,Seoni / Shivani,86.53,12.78,24.83,57.88,82.71,20.74,202.76,202.76
11,2015,6,Madhya Pradesh,Seoni / Shivani,83.18,11.49,26.08,51.26,77.33,18.81,190.81,190.81
11,2016,6,Madhya Pradesh,Seoni / Shivani,87.19,11.54,24.82,54.63,79.45,21.81,199.98,199.98
11,2017,6,Madhya Pradesh,Seoni / Shivani,96.88,9.96,28.6,52.44,81.04,22.12,210,210
12,2000,6,Madhya Pradesh,Mandla,11.16,0.16,0,2.75,2.75,1.54,15.63,16.21
12,2001,6,Madhya Pradesh,Mandla,13.52,0.07,0,2.76,2.76,1.48,17.83,17.83
12,2002,6,Madhya Pradesh,Mandla,13.8,0.18,0,2.7,2.7,2.08,18.74,18.74
12,2003,6,Madhya Pradesh,Mandla,13.88,0.04,0,2.73,2.73,1.86,18.51,18.51
12,2004,6,Madhya Pradesh,Mandla,15.62,0.02,0,3.01,3.01,1.68,20.33,20.33
12,2005,6,Madhya Pradesh,Mandla,16.36,0.04,0,2.88,2.88,2.08,21.37,21.37
12,2006,6,Madhya Pradesh,Mandla,16.99,0.01,0,3.07,3.07,2.05,22.12,22.12
12,2007,6,Madhya Pradesh,Mandla,16.89,0.02,0,3.08,3.08,2.11,22.09,22.09
12,2008,6,Madhya Pradesh,Mandla,17.44,0.04,0,2.79,2.79,2.22,22.47,22.47
12,2009,6,Madhya Pradesh,Mandla,16.18,0.02,0,2.98,2.98,2.37,21.54,21.55
12,2010,6,Madhya Pradesh,Mandla,15.02,0.06,0,3.22,3.22,2.1,20.41,20.43
12,2011,6,Madhya Pradesh,Mandla,22.85,0.31,0,4.89,4.89,3.31,31.36,31.41
12,2012,6,Madhya Pradesh,Mandla,25.61,0.62,0.09,5.57,5.66,5.89,37.78,37.88
12,2013,6,Madhya Pradesh,Mandla,27.13,0.47,0.08,10.71,10.79,6.59,44.98,45.08
12,2014,6,Madhya Pradesh,Mandla,32.19,0.47,0.01,11.6,11.61,7.66,51.91,51.98
12,2015,6,Madhya Pradesh,Mandla,22.78,3.73,0.06,16.95,17.01,8.98,52.48,52.65
12,2016,6,Madhya Pradesh,Mandla,22.8,3.92,0.21,17.01,17.22,11.49,55.44,55.46
12,2017,6,Madhya Pradesh,Mandla,29.64,3.76,1.18,16.2,17.38,9.01,59.77,59.8
13,2000,6,Madhya Pradesh,Sagar,6.89,1.12,19.63,75.36,94.99,56.27,159.27,159.28
13,2001,6,Madhya Pradesh,Sagar,8.66,1.29,21.44,85.04,106.48,62.72,179.15,179.16
13,2002,6,Madhya Pradesh,Sagar,8.55,1.56,30.26,83.49,113.75,57.62,181.48,181.48
13,2003,6,Madhya Pradesh,Sagar,7.9,2.8,46.23,80.27,126.5,64.91,202.1,202.15
13,2004,6,Madhya Pradesh,Sagar,7.87,3,33.75,102.98,136.73,71.15,218.76,218.76
13,2005,6,Madhya Pradesh,Sagar,4.83,2.56,39.85,116.96,156.81,72.44,236.64,236.64
13,2006,6,Madhya Pradesh,Sagar,8.17,2.65,36.96,116.99,153.95,76.3,241.06,241.06
13,2007,6,Madhya Pradesh,Sagar,4.04,2.2,40.32,108.22,148.54,75.92,230.69,230.69
13,2008,6,Madhya Pradesh,Sagar,1.98,2.33,43.88,116.6,160.48,83.65,248.44,248.44
13,2009,6,Madhya Pradesh,Sagar,2.13,2.43,48.9,120.47,169.37,86.11,260.03,260.03
13,2010,6,Madhya Pradesh,Sagar,9.18,3.09,45.15,128.02,173.17,83.63,269.08,269.08
13,2011,6,Madhya Pradesh,Sagar,6,5.31,49.22,140.84,190.06,77.85,279.22,279.22
13,2012,6,Madhya Pradesh,Sagar,9.09,4.99,59.31,149.8,209.11,75.73,298.92,298.92
13,2013,6,Madhya Pradesh,Sagar,11.38,5.42,85.82,152.36,238.18,79.19,334.16,334.16
13,2014,6,Madhya Pradesh,Sagar,11.16,5.41,75.39,191.72,267.11,83.9,367.57,367.57
13,2015,6,Madhya Pradesh,Sagar,13.36,10.17,72.55,165.66,238.2,76.76,338.5,338.5
13,2016,6,Madhya Pradesh,Sagar,13.46,8.73,78.94,178.55,257.49,70.72,350.39,350.39
13,2017,6,Madhya Pradesh,Sagar,13.48,18.73,74.91,210.9,285.81,75.99,394.01,394.01
14,2000,6,Madhya Pradesh,Damoh,9.7,0.27,20.18,20.94,41.12,36.64,87.73,89.54
14,2001,6,Madhya Pradesh,Damoh,9.76,0.22,22,23.11,45.11,39.31,94.4,96.52
14,2002,6,Madhya Pradesh,Damoh,9.71,0.22,24.04,23.86,47.9,40.7,98.53,100.94
14,2003,6,Madhya Pradesh,Damoh,10.13,0.4,24.87,23.23,48.1,42.24,100.88,102.81
14,2004,6,Madhya Pradesh,Damoh,10.64,0.65,25.58,25.84,51.42,44.33,107.02,109.31
14,2005,6,Madhya Pradesh,Damoh,10.44,0.48,28.71,26.53,55.24,45.45,111.6,114.14
14,2006,6,Madhya Pradesh,Damoh,11.6,0.78,29.8,28.3,58.1,45.3,115.78,118.63
14,2007,6,Madhya Pradesh,Damoh,11.17,0.79,29.95,26.36,56.31,42.38,110.65,112.99
14,2008,6,Madhya Pradesh,Damoh,11.39,0.98,31.22,28.6,59.82,45.64,117.83,120.02
14,2009,6,Madhya Pradesh,Damoh,12.16,1.29,32.8,29.85,62.65,47.04,123.13,124.57
14,2010,6,Madhya Pradesh,Damoh,10.41,1.11,25.64,25.15,50.79,36.28,98.59,104.23
14,2011,6,Madhya Pradesh,Damoh,12.13,1.25,26.21,26.11,52.32,38.69,104.39,123.55
14,2012,6,Madhya Pradesh,Damoh,15.69,2.4,32.14,32.6,64.73,57,139.82,139.82
14,2013,6,Madhya Pradesh,Damoh,21.07,8.77,36.32,38.01,74.33,77.64,181.81,181.81
14,2014,6,Madhya Pradesh,Damoh,23.64,9.81,40.67,44.04,84.71,84.91,203.07,203.07
14,2015,6,Madhya Pradesh,Damoh,23.64,9.81,40.67,44.04,84.71,21.27,139.43,139.43
14,2016,6,Madhya Pradesh,Damoh,24.77,11.73,46.99,55.2,102.19,61.74,200.43,200.43
14,2017,6,Madhya Pradesh,Damoh,25.2,14.19,47.63,58.02,105.65,59.01,204.04,204.04
15,2000,6,Madhya Pradesh,Tikamgarh,27.71,10.51,2.17,120.43,122.6,11.39,172.22,208.96
15,2001,6,Madhya Pradesh,Tikamgarh,18.61,10,2.89,122.4,125.29,24.32,178.22,212.62
15,2002,6,Madhya Pradesh,Tikamgarh,11.16,7.96,7.47,129.28,136.75,12.34,168.22,204.49
15,2003,6,Madhya Pradesh,Tikamgarh,16.18,7.33,4.7,139.56,144.26,21.68,189.44,218.03
15,2004,6,Madhya Pradesh,Tikamgarh,13.01,7.35,12.9,137.74,150.64,13.36,184.36,217.19
15,2005,6,Madhya Pradesh,Tikamgarh,13.48,10.51,8.82,123.57,132.39,6.59,162.98,206.78
15,2006,6,Madhya Pradesh,Tikamgarh,6.7,6.17,8,85.11,93.11,4.37,110.36,145.26
15,2007,6,Madhya Pradesh,Tikamgarh,2.94,0.47,4.15,42.94,47.09,2.41,52.92,65.56
