State,Year,ratio
Uttar Pradesh,2018,0.877535101
Uttar Pradesh,2018,0.66777159
Uttar Pradesh,2018,0.998093039
Uttar Pradesh,2018,0.590909091
Uttar Pradesh,2018,0.510446686
Uttar Pradesh,2019,1.517006803
Uttar Pradesh,2019,0.678909953
Uttar Pradesh,2019,0.608248618
Uttar Pradesh,2019,1.066105094
Uttar Pradesh,2019,1.156862745
Uttar Pradesh,2019,0.831428571
Uttar Pradesh,2019,0.399777558
Uttar Pradesh,2020,1.586419753
Uttar Pradesh,2020,0.679154079
Uttar Pradesh,2020,0.50474846
Uttar Pradesh,2020,0.947717303
Uttar Pradesh,2020,0.852054795
Uttar Pradesh,2020,0.38405727
Uttar Pradesh,2020,1.188311688
Bihar,2011,1.419228822
Bihar,2011,0.662297644
Bihar,2011,1.383775582
Bihar,2012,1.416359893
Bihar,2012,0.684684151
Bihar,2012,1.533476014
Bihar,2013,1.636444444
Bihar,2013,0.659219525
Bihar,2013,1.580213507
Bihar,2014,1.717395474
Bihar,2014,0.80314646
Bihar,2014,1.637784496
Bihar,2015,1.805684755
Bihar,2015,0.722815189
Bihar,2015,1.644953591
Bihar,2016,1.753502394
Bihar,2016,0.660931907
Bihar,2016,1.796624695
Bihar,2017,1.45
Bihar,2017,0.778477571
Bihar,2017,1.912047073
Bihar,2018,1.053028622
Bihar,2018,1.087837838
Bihar,2018,0.760160133
Bihar,2018,1.595823096
Bihar,2018,2.002119606
Bihar,2019,1.86307311
Bihar,2019,0.792407979
Bihar,2019,1.718178833
Bihar,2020,2.192360633
Bihar,2020,0.869844292
Bihar,2020,1.421768707
Bihar,2020,1.770634736
Nagaland,2011,0.937644342
Nagaland,2011,1.09202454
Nagaland,2012,0.900900901
Nagaland,2012,1.064562002
Nagaland,2013,0.693333333
Nagaland,2013,1.124328679
Nagaland,2014,0.727272727
Nagaland,2014,1.053613054
Nagaland,2015,0.845102506
Nagaland,2015,1.125772706
Nagaland,2016,0.703583062
Nagaland,2016,1.158338885
Nagaland,2017,0.795847751
Nagaland,2017,1.170512319
Nagaland,2018,0.778364116
Nagaland,2018,1.238636364
Nagaland,2019,0.845735027
Nagaland,2019,1.346409432
Nagaland,2020,0.745
Nagaland,2020,1.34495614
Manipur,2011,0.843902439
Manipur,2011,0.930162061
Manipur,2012,0.788381743
Manipur,2012,0.875468504
Manipur,2013,0.777777778
Manipur,2013,0.921371887
Manipur,2014,0.845528455
Manipur,2014,0.929895975
Manipur,2015,0.835714286
Manipur,2015,0.943028878
Manipur,2016,0.931578947
Manipur,2016,0.949287947
Manipur,2017,1.023668639
Manipur,2017,1.001930735
Manipur,2018,0.744874715
Manipur,2018,0.954919381
Manipur,2019,1.137735849
Manipur,2019,1.02811079
Manipur,2020,0.673913043
Manipur,2020,0.987333443
Mizoram,2011,0.694698355
Mizoram,2011,1.14703154
Mizoram,2012,0.655540721
Mizoram,2012,1.109599395
Mizoram,2013,0.739130435
Mizoram,2013,1.0625
Mizoram,2014,0.833879781
Mizoram,2014,1.176108773
Mizoram,2015,0.708333333
Mizoram,2015,1.085006693
Mizoram,2016,0.969072165
Mizoram,2016,1.048768473
Mizoram,2017,0.642201835
Mizoram,2017,1.114238863
Mizoram,2018,0.689189189
Mizoram,2018,1.075158946
Mizoram,2019,0.658536585
Mizoram,2019,1.142231384
Mizoram,2020,0.75
Mizoram,2020,1.174148432
Tripura,2011,0.655543595
Tripura,2011,0.725272961
Tripura,2012,0.729522184
Tripura,2012,0.728779575
Tripura,2013,0.715725806
Tripura,2013,0.755501222
Tripura,2014,0.704761905
Tripura,2014,0.798773758
Tripura,2015,0.842777778
Tripura,2015,0.794350842
