Dist Code,Year,State Code,State,District,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
1,2000,14,Chhattisgarh,Durg,35349,59.45,34.47,29.14,18393,30.93,17.94,15.16,5722,9.62,5.58,4.72,59464,57.99,49.03
1,2001,14,Chhattisgarh,Durg,39695,64.02,38.25,29.54,17621,28.42,16.98,13.11,4692,7.57,4.52,3.49,62007,59.75,46.14
1,2002,14,Chhattisgarh,Durg,33215,59.23,32.11,25.84,16959,30.24,16.39,13.19,5909,10.54,5.71,4.6,56082,54.22,43.63
1,2003,14,Chhattisgarh,Durg,32666,61.75,31.39,23.64,14731,27.85,14.16,10.66,5504,10.4,5.29,3.98,52900,50.84,38.29
1,2004,14,Chhattisgarh,Durg,48957,60.42,47,34.52,23367,28.84,22.44,16.48,8698,10.74,8.35,6.13,81022,77.79,57.13
1,2005,14,Chhattisgarh,Durg,52889,60.61,50.67,36.8,23912,27.4,22.91,16.64,10466,11.99,10.03,7.28,87267,83.61,60.73
1,2006,14,Chhattisgarh,Durg,63979,59.71,61.4,44.56,30775,28.72,29.54,21.43,12392,11.57,11.89,8.63,107146,102.83,74.63
1,2007,14,Chhattisgarh,Durg,60332,60.73,58,41.71,27558,27.74,26.49,19.05,11458,11.53,11.01,7.92,99347,95.51,68.68
1,2008,14,Chhattisgarh,Durg,52406,50.46,50.7,37.62,33856,32.6,32.75,24.3,17602,16.95,17.03,12.63,103864,100.48,74.56
1,2009,14,Chhattisgarh,Durg,72854,55.13,70.82,53.45,41198,31.18,40.05,30.23,18091,13.69,17.58,13.27,132143,128.45,96.95
1,2010,14,Chhattisgarh,Durg,77428,54.47,75.27,55.08,45186,31.79,43.93,32.15,19542,13.75,19,13.9,142156,138.2,101.13
1,2011,14,Chhattisgarh,Durg,72843,53.56,70.69,51.66,45815,33.69,44.46,32.49,17339,12.75,16.83,12.3,135997,131.98,96.46
1,2012,14,Chhattisgarh,Durg,93725,58.43,91.08,66.19,50474,31.47,49.05,35.65,16214,10.11,15.76,11.45,160413,155.88,113.29
1,2013,14,Chhattisgarh,Durg,80745,58.05,78.35,56.41,42228,30.36,40.98,29.5,16125,11.59,15.65,11.27,139098,134.98,97.18
1,2014,14,Chhattisgarh,Durg,92459,56.7,90.1,64.26,54358,33.33,52.97,37.78,16254,9.97,15.84,11.3,163071,158.92,113.34
1,2015,14,Chhattisgarh,Durg,109099,57.14,105.92,75.87,62410,32.69,60.59,43.4,19424,10.17,18.86,13.51,190933,185.37,132.77
1,2016,14,Chhattisgarh,Durg,103328,54.12,99.53,70.39,66895,35.04,64.43,45.57,20714,10.85,19.95,14.11,190937,183.91,130.07
1,2017,14,Chhattisgarh,Durg,91447,56.47,-1,-1,53486,33.03,-1,-1,16993,10.49,-1,-1,161926,-1,-1
2,2000,14,Chhattisgarh,Bastar,7060,67.35,8.2,7.99,2551,24.34,2.96,2.89,871,8.31,1.01,0.99,10482,12.18,11.86
2,2001,14,Chhattisgarh,Bastar,8975,63.91,10.42,10.1,3729,26.55,4.33,4.2,1339,9.53,1.55,1.51,14043,16.3,15.8
2,2002,14,Chhattisgarh,Bastar,6298,58.98,7.5,7.32,3230,30.25,3.84,3.75,1151,10.78,1.37,1.34,10679,12.71,12.41
2,2003,14,Chhattisgarh,Bastar,6474,59.59,7.63,7.38,3114,28.66,3.67,3.55,1276,11.75,1.5,1.46,10864,12.8,12.39
2,2004,14,Chhattisgarh,Bastar,9315,59.18,10.99,10.63,4360,27.7,5.14,4.98,2064,13.11,2.43,2.36,15739,18.57,17.96
2,2005,14,Chhattisgarh,Bastar,10661,61.11,12.59,12.17,4827,27.67,5.7,5.51,1959,11.23,2.31,2.24,17447,20.6,19.91
2,2006,14,Chhattisgarh,Bastar,12218,58.53,14.05,13.55,6136,29.4,7.05,6.8,2520,12.07,2.9,2.79,20874,24,23.14
2,2007,14,Chhattisgarh,Bastar,9710,70.9,11.86,11.42,3270,23.88,3.99,3.84,715,5.22,0.87,0.84,13695,16.73,16.1
2,2008,14,Chhattisgarh,Bastar,11578,56.18,14.13,13.61,5451,26.45,6.65,6.41,3579,17.37,4.37,4.21,20608,25.14,24.23
2,2009,14,Chhattisgarh,Bastar,17440,58.67,21.33,20.57,9076,30.53,11.1,10.7,3212,10.8,3.93,3.79,29728,36.36,35.06
2,2010,14,Chhattisgarh,Bastar,16819,52.94,20.1,19.35,9675,30.45,11.56,11.13,5277,16.61,6.31,6.07,31771,37.96,36.55
2,2011,14,Chhattisgarh,Bastar,16701,54.65,20.53,19.77,10399,34.03,12.78,12.31,3459,11.32,4.25,4.09,30559,37.57,36.17
2,2012,14,Chhattisgarh,Bastar,22885,57.88,27.97,26.92,12120,30.65,14.82,14.26,4535,11.47,5.54,5.33,39540,48.33,46.51
2,2013,14,Chhattisgarh,Bastar,18748,58.15,22.85,21.96,9581,29.72,11.68,11.22,3912,12.13,4.77,4.58,32241,39.3,37.77
2,2014,14,Chhattisgarh,Bastar,21424,56.73,26.05,25.01,11737,31.08,14.27,13.7,4606,12.2,5.6,5.38,37767,45.92,44.09
2,2015,14,Chhattisgarh,Bastar,19698,51.49,24.26,23.32,13415,35.07,16.52,15.88,5141,13.44,6.33,6.09,38254,47.12,45.3
2,2016,14,Chhattisgarh,Bastar,22592,54.07,27.64,26.6,13794,33.01,16.88,16.24,5394,12.91,6.6,6.35,41783,51.13,49.2
2,2017,14,Chhattisgarh,Bastar,21279,55.8,-1,-1,12584,33,-1,-1,4271,11.2,-1,-1,38134,-1,-1
3,2000,14,Chhattisgarh,Raipur,47700,57.73,50.83,45.57,26145,31.64,27.86,24.98,8783,10.63,9.36,8.39,82628,88.05,78.93
3,2001,14,Chhattisgarh,Raipur,50959,62.07,53.57,45.02,23621,28.77,24.83,20.87,7522,9.16,7.91,6.65,82102,86.31,72.53
3,2002,14,Chhattisgarh,Raipur,48351,60.15,50.99,44.04,23686,29.46,24.98,21.58,8351,10.39,8.81,7.61,80388,84.78,73.23
3,2003,14,Chhattisgarh,Raipur,47900,61.22,50.45,40.54,22409,28.64,23.6,18.97,7939,10.15,8.36,6.72,78248,82.42,66.23
3,2004,14,Chhattisgarh,Raipur,68747,59.1,72.32,58.5,33795,29.05,35.55,28.76,13790,11.85,14.51,11.73,116332,122.37,98.99
3,2005,14,Chhattisgarh,Raipur,72879,53.8,76.88,61.56,47155,34.81,49.75,39.83,15430,11.39,16.28,13.03,135464,142.91,114.42
3,2006,14,Chhattisgarh,Raipur,101407,59.71,106.99,84.97,46657,27.47,49.22,39.09,21781,12.82,22.98,18.25,169845,179.19,142.31
3,2007,14,Chhattisgarh,Raipur,106660,55.53,112.51,88.25,55126,28.7,58.15,45.61,30274,15.76,31.93,25.05,192060,202.59,158.91
3,2008,14,Chhattisgarh,Raipur,106007,57.91,112.44,90.05,53556,29.26,56.81,45.49,23481,12.83,24.91,19.95,183044,194.16,155.49
3,2009,14,Chhattisgarh,Raipur,115245,57.89,122.84,99.79,59287,29.78,63.19,51.33,24550,12.33,26.17,21.26,199082,212.2,172.38
3,2010,14,Chhattisgarh,Raipur,127705,58.2,135.75,108.06,64093,29.21,68.13,54.23,27617,12.59,29.36,23.37,219415,233.24,185.66
3,2011,14,Chhattisgarh,Raipur,143926,60.44,153.17,123.97,66868,28.08,71.16,57.6,27341,11.48,29.1,23.55,238135,253.43,205.12
3,2012,14,Chhattisgarh,Raipur,140933,64.93,150.44,119.01,63782,29.39,68.08,53.86,12325,5.68,13.16,10.41,217040,231.68,183.28
3,2013,14,Chhattisgarh,Raipur,133516,62.71,141.02,112.07,62690,29.44,66.21,52.62,16718,7.85,17.66,14.03,212924,224.89,178.73
3,2014,14,Chhattisgarh,Raipur,131220,62.99,137.59,107.5,56975,27.35,59.74,46.68,20116,9.66,21.09,16.48,208311,218.42,170.65
3,2015,14,Chhattisgarh,Raipur,127207,65.03,134.22,109.49,51969,26.57,54.84,44.73,16422,8.4,17.33,14.13,195598,206.39,168.35
3,2016,14,Chhattisgarh,Raipur,118345,58.88,125.78,100.6,65193,32.43,69.29,55.42,17469,8.69,18.57,14.85,201005,213.64,170.86
3,2017,14,Chhattisgarh,Raipur,92008,59.44,-1,-1,47721,30.83,-1,-1,15054,9.73,-1,-1,154783,-1,-1
4,2000,14,Chhattisgarh,Bilaspur,36684,68.82,45.27,39.16,13876,26.03,17.13,14.81,2742,5.14,3.38,2.93,53302,65.78,56.89
4,2001,14,Chhattisgarh,Bilaspur,47381,70.5,57.81,48.54,16418,24.43,20.03,16.82,3412,5.08,4.16,3.5,67212,82.01,68.86
4,2002,14,Chhattisgarh,Bilaspur,44865,69.07,55.31,46.82,16255,25.02,20.04,16.96,3837,5.91,4.73,4,64958,80.07,67.78
4,2003,14,Chhattisgarh,Bilaspur,48851,75.55,59.81,48.86,11726,18.14,14.36,11.73,4082,6.31,5,4.08,64660,79.17,64.67
4,2004,14,Chhattisgarh,Bilaspur,61764,69.76,75.77,61.98,20201,22.82,24.78,20.27,6572,7.42,8.06,6.59,88537,108.61,88.84
4,2005,14,Chhattisgarh,Bilaspur,55417,73.55,68.16,55.38,14434,19.16,17.75,14.42,5494,7.29,6.76,5.49,75345,92.67,75.3
4,2006,14,Chhattisgarh,Bilaspur,60336,71.07,74.2,59.38,17875,21.06,21.98,17.59,6684,7.87,8.22,6.58,84895,104.41,83.55
4,2007,14,Chhattisgarh,Bilaspur,56764,74.04,69.89,56.86,14927,19.47,18.38,14.95,4979,6.49,6.13,4.99,76670,94.4,76.8
4,2008,14,Chhattisgarh,Bilaspur,51999,65.42,64.27,50.76,20056,25.23,24.79,19.58,7429,9.35,9.18,7.25,79484,98.25,77.6
4,2009,14,Chhattisgarh,Bilaspur,59188,64.33,73.53,60.68,25473,27.69,31.64,26.12,7339,7.98,9.12,7.52,92000,114.29,94.33
4,2010,14,Chhattisgarh,Bilaspur,60950,62.13,75.56,60.61,28184,28.73,34.94,28.03,8970,9.14,11.12,8.92,98104,121.62,97.55
4,2011,14,Chhattisgarh,Bilaspur,79347,67.09,98.63,76.9,29934,25.31,37.21,29.01,8989,7.6,11.17,8.71,118270,147.01,114.63
4,2012,14,Chhattisgarh,Bilaspur,76076,68.78,94.8,73.98,28892,26.12,36,28.1,5641,5.1,7.03,5.49,110609,137.83,107.56
4,2013,14,Chhattisgarh,Bilaspur,74396,70.4,92.64,73.89,25750,24.37,32.06,25.57,5532,5.24,6.89,5.49,105678,131.59,104.96
4,2014,14,Chhattisgarh,Bilaspur,77950,68.95,96.94,77.5,28868,25.54,35.9,28.7,6234,5.51,7.75,6.2,113052,140.59,112.41
4,2015,14,Chhattisgarh,Bilaspur,75540,65.29,94.25,74.9,32253,27.88,40.24,31.98,7910,6.84,9.87,7.84,115703,144.36,114.72
4,2016,14,Chhattisgarh,Bilaspur,83154,64.18,105.05,85.48,37732,29.12,47.67,38.79,8671,6.69,10.95,8.91,129557,163.68,133.17
4,2017,14,Chhattisgarh,Bilaspur,72926,66.57,-1,-1,29713,27.12,-1,-1,6915,6.31,-1,-1,109554,-1,-1
5,2000,14,Chhattisgarh,Raigarh,12035,55.37,22.57,21.3,7873,36.22,14.77,13.93,1826,8.4,3.42,3.23,21734,40.76,38.46
5,2001,14,Chhattisgarh,Raigarh,15844,64.36,29.77,27.88,7407,30.09,13.92,13.04,1365,5.55,2.56,2.4,24616,46.25,43.32
5,2002,14,Chhattisgarh,Raigarh,15304,68.68,28.75,26.77,5787,25.97,10.87,10.12,1193,5.35,2.24,2.09,22284,41.86,38.98
5,2003,14,Chhattisgarh,Raigarh,16907,67.53,31.78,28.92,6888,27.51,12.95,11.78,1241,4.96,2.33,2.12,25036,47.07,42.83
5,2004,14,Chhattisgarh,Raigarh,21776,69.33,41.17,37.85,7486,23.83,14.15,13.01,2148,6.84,4.06,3.73,31410,59.39,54.6
5,2005,14,Chhattisgarh,Raigarh,23120,65.32,43.95,40.27,9291,26.25,17.66,16.18,2982,8.43,5.67,5.19,35393,67.27,61.65
5,2006,14,Chhattisgarh,Raigarh,21975,65.25,41.78,38.27,8460,25.12,16.08,14.73,3245,9.63,6.17,5.65,33680,64.03,58.66
5,2007,14,Chhattisgarh,Raigarh,23067,65.5,43.93,40.2,9135,25.94,17.4,15.92,3014,8.56,5.74,5.25,35216,67.07,61.38
5,2008,14,Chhattisgarh,Raigarh,28705,63.76,54.81,50.23,11004,24.44,21.01,19.26,5309,11.79,10.14,9.29,45018,85.95,78.78
5,2009,14,Chhattisgarh,Raigarh,30471,62.66,58.63,53.97,13966,28.72,26.87,24.73,4195,8.63,8.07,7.43,48632,93.57,86.13
5,2010,14,Chhattisgarh,Raigarh,24194,56.79,46.86,43.07,13785,32.36,26.7,24.54,4622,10.85,8.95,8.23,42601,82.52,75.83
5,2011,14,Chhattisgarh,Raigarh,30099,64.95,58.5,53.82,14000,30.21,27.21,25.03,2241,4.84,4.36,4.01,46340,90.07,82.86
5,2012,14,Chhattisgarh,Raigarh,25807,66.99,50.2,46.25,10948,28.42,21.3,19.62,1767,4.59,3.44,3.17,38522,74.93,69.04
5,2013,14,Chhattisgarh,Raigarh,25812,65.37,50.49,46.42,11328,28.69,22.16,20.37,2344,5.94,4.58,4.22,39484,77.23,71.01
5,2014,14,Chhattisgarh,Raigarh,27928,63.92,56.19,51.39,11565,26.47,23.27,21.28,4197,9.61,8.44,7.72,43690,87.9,80.39
5,2015,14,Chhattisgarh,Raigarh,31033,63.22,62.17,57.02,14398,29.33,28.85,26.45,3660,7.46,7.33,6.72,49091,98.35,90.19
5,2016,14,Chhattisgarh,Raigarh,26660,53.27,52.09,47.84,17716,35.4,34.61,31.79,5672,11.33,11.08,10.18,50048,97.78,89.81
5,2017,14,Chhattisgarh,Raigarh,31282,64.35,-1,-1,13620,28.02,-1,-1,3707,7.63,-1,-1,48609,-1,-1
6,2000,14,Chhattisgarh,Surguja,9047,56.05,15.2,13.28,5888,36.48,9.9,8.64,1205,7.47,2.03,1.77,16140,27.12,23.69
6,2001,14,Chhattisgarh,Surguja,10833,63.47,18.14,15.78,5078,29.75,8.5,7.4,1157,6.78,1.94,1.69,17068,28.59,24.86
6,2002,14,Chhattisgarh,Surguja,9829,61.66,16.72,14.62,4905,30.77,8.34,7.3,1207,7.57,2.05,1.8,15941,27.12,23.71
6,2003,14,Chhattisgarh,Surguja,10555,66.98,17.84,15.46,4270,27.1,7.22,6.26,933,5.92,1.58,1.37,15758,26.63,23.09
6,2004,14,Chhattisgarh,Surguja,19804,67.75,33.78,29.37,7658,26.2,13.06,11.36,1767,6.05,3.01,2.62,29229,49.85,43.35
6,2005,14,Chhattisgarh,Surguja,17120,73.16,29.2,25.4,4783,20.44,8.16,7.1,1499,6.41,2.56,2.22,23402,39.92,34.73
6,2006,14,Chhattisgarh,Surguja,12305,62.17,20.89,18.18,6099,30.82,10.35,9.01,1387,7.01,2.35,2.05,19791,33.6,29.25
6,2007,14,Chhattisgarh,Surguja,15725,63.19,26.98,23.47,6950,27.93,11.92,10.37,2210,8.88,3.79,3.3,24885,42.69,37.15
6,2008,14,Chhattisgarh,Surguja,16910,54.91,29.07,25.38,10337,33.56,17.77,15.51,3551,11.53,6.11,5.33,30798,52.95,46.22
6,2009,14,Chhattisgarh,Surguja,20624,58.01,35.92,31.45,13320,37.47,23.2,20.31,1606,4.52,2.8,2.45,35550,61.91,54.22
6,2010,14,Chhattisgarh,Surguja,14897,52.98,26.25,23.01,10262,36.49,18.08,15.85,2961,10.53,5.22,4.57,28120,49.56,43.44
6,2011,14,Chhattisgarh,Surguja,13484,51.32,23.47,20.53,10318,39.27,17.96,15.71,2471,9.41,4.3,3.76,26273,45.74,39.99
6,2012,14,Chhattisgarh,Surguja,22160,62.71,38.81,33.88,11396,32.25,19.96,17.42,1782,5.04,3.12,2.72,35338,61.89,54.02
6,2013,14,Chhattisgarh,Surguja,25632,64.36,44.69,38.92,11078,27.82,19.31,16.82,3114,7.82,5.43,4.73,39824,69.43,60.46
6,2014,14,Chhattisgarh,Surguja,22005,56.15,38.11,33.22,11871,30.29,20.56,17.92,5317,13.57,9.21,8.03,39193,67.88,59.16
6,2015,14,Chhattisgarh,Surguja,28205,58.69,50.29,43.86,15297,31.83,27.28,23.79,4556,9.48,8.12,7.08,48058,85.69,74.73
6,2016,14,Chhattisgarh,Surguja,34865,58.09,61.76,53.66,19660,32.75,34.83,30.26,5498,9.16,9.74,8.46,60023,106.33,92.37
6,2017,14,Chhattisgarh,Surguja,21139,56.44,-1,-1,11878,31.71,-1,-1,4438,11.85,-1,-1,37455,-1,-1
7,2000,6,Madhya Pradesh,Jabalpur,14636,66.04,32.17,24.7,7037,31.75,15.47,11.87,488,2.2,1.07,0.82,22161,48.7,37.4
7,2001,6,Madhya Pradesh,Jabalpur,16251,63.55,34.9,26.49,8304,32.47,17.84,13.53,1018,3.98,2.19,1.66,25573,54.93,41.68
7,2002,6,Madhya Pradesh,Jabalpur,17417,58.37,37.43,28.1,11514,38.59,24.75,18.58,907,3.04,1.95,1.46,29838,64.13,48.14
7,2003,6,Madhya Pradesh,Jabalpur,20217,56.32,42.79,31.68,13901,38.72,29.42,21.79,1781,4.96,3.77,2.79,35899,75.98,56.26
7,2004,6,Madhya Pradesh,Jabalpur,23274,60.47,49.21,36.39,13871,36.04,29.33,21.69,1342,3.49,2.84,2.1,38487,81.37,60.18
7,2005,6,Madhya Pradesh,Jabalpur,20639,61.21,43.82,33.06,12035,35.7,25.55,19.28,1042,3.09,2.21,1.67,33716,71.58,54.01
7,2006,6,Madhya Pradesh,Jabalpur,28205,61.44,60.46,45.66,16181,35.25,34.69,26.19,1521,3.31,3.26,2.46,45907,98.41,74.32
7,2007,6,Madhya Pradesh,Jabalpur,28086,60.05,63.66,48.48,16387,35.04,37.14,28.29,2298,4.91,5.21,3.97,46771,106,80.73
7,2008,6,Madhya Pradesh,Jabalpur,35173,59.06,74.9,54.88,19890,33.4,42.35,31.04,4493,7.54,9.57,7.01,59556,126.82,92.93
7,2009,6,Madhya Pradesh,Jabalpur,38809,57.37,85.14,65.66,24312,35.94,53.33,41.13,4531,6.7,9.94,7.67,67652,148.41,114.46
7,2010,6,Madhya Pradesh,Jabalpur,45176,58.39,95.95,70.32,27778,35.9,59,43.24,4417,5.71,9.38,6.88,77371,164.33,120.43
7,2011,6,Madhya Pradesh,Jabalpur,42455,60.08,89.5,63.43,25909,36.67,54.62,38.71,2300,3.25,4.85,3.44,70664,148.97,105.57
7,2012,6,Madhya Pradesh,Jabalpur,50877,62.76,104.35,73.97,27139,33.48,55.66,39.46,3046,3.76,6.25,4.43,81062,166.26,117.86
7,2013,6,Madhya Pradesh,Jabalpur,57705,71.22,116.46,78.78,22933,28.3,46.28,31.31,389,0.48,0.79,0.53,81027,163.53,110.62
7,2014,6,Madhya Pradesh,Jabalpur,48381,68.7,99.09,65.85,21016,29.84,43.04,28.61,1023,1.45,2.1,1.39,70420,144.23,95.85
7,2015,6,Madhya Pradesh,Jabalpur,57804,70.2,120.34,79.76,23267,28.26,48.44,32.11,1271,1.54,2.65,1.75,82342,171.43,113.62
7,2016,6,Madhya Pradesh,Jabalpur,68841,70.44,140.99,90.41,27122,27.75,55.55,35.62,1759,1.8,3.6,2.31,97724,200.15,128.34
7,2017,6,Madhya Pradesh,Jabalpur,62230,65.4,127.27,77.51,30800,32.37,62.99,38.36,2116,2.22,4.33,2.64,95146,194.58,118.51
8,2000,6,Madhya Pradesh,Balaghat,7321,57.52,26.72,22.01,4665,36.65,17.03,14.03,741,5.82,2.7,2.23,12727,46.46,38.26
8,2001,6,Madhya Pradesh,Balaghat,3752,41.86,13.64,10.99,4686,52.28,17.04,13.73,525,5.86,1.91,1.54,8963,32.59,26.26
8,2002,6,Madhya Pradesh,Balaghat,7405,59.19,27,21.6,4569,36.52,16.66,13.33,536,4.28,1.95,1.56,12510,45.61,36.49
8,2003,6,Madhya Pradesh,Balaghat,9711,60.16,35.25,27.84,5792,35.88,21.03,16.6,638,3.95,2.32,1.83,16141,58.6,46.27
8,2004,6,Madhya Pradesh,Balaghat,8322,59.53,33.19,27.45,5008,35.83,19.97,16.52,649,4.64,2.59,2.14,13979,55.75,46.11
8,2005,6,Madhya Pradesh,Balaghat,10486,58.58,38.28,30.48,6693,37.39,24.44,19.46,722,4.03,2.64,2.1,17901,65.36,52.04
8,2006,6,Madhya Pradesh,Balaghat,10663,59.28,39.02,31.24,6582,36.59,24.09,19.28,744,4.14,2.72,2.18,17989,65.84,52.7
8,2007,6,Madhya Pradesh,Balaghat,12549,60.28,46,36.65,7523,36.14,27.57,21.97,745,3.58,2.73,2.18,20817,76.3,60.8
8,2008,6,Madhya Pradesh,Balaghat,13686,59.66,50.17,40.07,8278,36.09,30.34,24.23,976,4.25,3.58,2.86,22940,84.09,67.16
8,2009,6,Madhya Pradesh,Balaghat,14461,58.6,53.35,42.66,9454,38.31,34.88,27.89,764,3.1,2.82,2.25,24679,91.05,72.81
8,2010,6,Madhya Pradesh,Balaghat,14843,56.79,55.01,44.24,9676,37.02,35.86,28.84,1618,6.19,6,4.82,26137,96.88,77.9
8,2011,6,Madhya Pradesh,Balaghat,17625,57.86,64.01,51.26,11995,39.38,43.56,34.89,840,2.76,3.05,2.44,30460,110.63,88.59
8,2012,6,Madhya Pradesh,Balaghat,16377,64.82,57.96,46.59,8403,33.26,29.74,23.91,484,1.92,1.71,1.38,25264,89.41,71.87
8,2013,6,Madhya Pradesh,Balaghat,15732,54.05,56.38,45.37,12464,42.82,44.67,35.95,913,3.14,3.27,2.63,29109,104.33,83.95
8,2014,6,Madhya Pradesh,Balaghat,15649,59.34,56.55,45.19,10125,38.4,36.59,29.24,596,2.26,2.15,1.72,26370,95.29,76.16
8,2015,6,Madhya Pradesh,Balaghat,19477,58.57,74.44,56.84,12859,38.67,49.15,37.53,916,2.75,3.5,2.67,33252,127.09,97.04
8,2016,6,Madhya Pradesh,Balaghat,15234,61.02,54.66,44.2,9370,37.53,33.62,27.19,361,1.45,1.3,1.05,24965,89.58,72.44
8,2017,6,Madhya Pradesh,Balaghat,18299,61.9,66.01,54.65,10688,36.15,38.55,31.92,575,1.94,2.07,1.72,29563,106.64,88.29
9,2000,6,Madhya Pradesh,Chhindwara,11205,63.64,23.93,20.85,4946,28.09,10.56,9.2,1455,8.26,3.11,2.71,17606,37.6,32.76
9,2001,6,Madhya Pradesh,Chhindwara,11670,63.3,24.77,21.49,5139,27.87,10.91,9.46,1628,8.83,3.46,3,18437,39.14,33.95
9,2002,6,Madhya Pradesh,Chhindwara,13200,63.27,27.57,23.33,6004,28.78,12.54,10.61,1658,7.95,3.46,2.93,20862,43.58,36.88
9,2003,6,Madhya Pradesh,Chhindwara,15175,62.74,31.37,25.63,7008,28.98,14.49,11.84,2003,8.28,4.14,3.38,24186,49.99,40.86
9,2004,6,Madhya Pradesh,Chhindwara,13341,60.55,27.56,22.18,7101,32.23,14.67,11.8,1591,7.22,3.29,2.64,22033,45.52,36.63
9,2005,6,Madhya Pradesh,Chhindwara,16989,65.2,35.6,28.65,6869,26.36,14.39,11.58,2197,8.43,4.6,3.7,26055,54.6,43.94
9,2006,6,Madhya Pradesh,Chhindwara,20197,66.61,41.7,32.58,7880,25.99,16.27,12.71,2242,7.39,4.63,3.62,30319,62.59,48.91
9,2007,6,Madhya Pradesh,Chhindwara,22965,71.79,47.15,36.69,6989,21.85,14.35,11.16,2037,6.37,4.18,3.25,31991,65.69,51.11
9,2008,6,Madhya Pradesh,Chhindwara,20287,67.62,42.57,34.92,6944,23.15,14.57,11.95,2771,9.24,5.82,4.77,30002,62.96,51.64
9,2009,6,Madhya Pradesh,Chhindwara,30188,67.89,62.41,48.18,10449,23.5,21.6,16.68,3829,8.61,7.92,6.11,44466,91.93,70.97
9,2010,6,Madhya Pradesh,Chhindwara,30157,62.57,61.6,45.99,12744,26.44,26.03,19.44,5297,10.99,10.82,8.08,48198,98.45,73.51
9,2011,6,Madhya Pradesh,Chhindwara,32436,64.4,64.92,47.99,13461,26.72,26.94,19.92,4472,8.88,8.95,6.62,50369,100.81,74.52
9,2012,6,Madhya Pradesh,Chhindwara,35016,66.86,68.4,49.58,14165,27.05,27.67,20.06,3192,6.09,6.24,4.52,52373,102.31,74.16
9,2013,6,Madhya Pradesh,Chhindwara,41304,72.75,80.75,57.34,13320,23.46,26.04,18.49,2149,3.79,4.2,2.98,56773,110.99,78.81
9,2014,6,Madhya Pradesh,Chhindwara,38309,66.59,75.1,52.83,15624,27.16,30.63,21.55,3598,6.25,7.05,4.96,57531,112.78,79.33
9,2015,6,Madhya Pradesh,Chhindwara,47316,68.37,92.93,65.09,17967,25.96,35.29,24.72,3922,5.67,7.7,5.4,69205,135.93,95.21
9,2016,6,Madhya Pradesh,Chhindwara,60800,71.2,119.58,85.05,19046,22.3,37.46,26.64,5550,6.5,10.92,7.76,85396,167.95,119.46
9,2017,6,Madhya Pradesh,Chhindwara,57518,68.36,114.01,78.39,20108,23.9,39.86,27.4,6518,7.75,12.92,8.88,84144,166.79,114.67
10,2000,6,Madhya Pradesh,Narsinghpur,7486,53.49,25.08,18.09,5712,40.82,19.14,13.8,796,5.69,2.67,1.92,13994,46.89,33.81
10,2001,6,Madhya Pradesh,Narsinghpur,7913,53.15,26.4,19.5,6057,40.69,20.2,14.93,917,6.16,3.06,2.26,14887,49.66,36.69
10,2002,6,Madhya Pradesh,Narsinghpur,8068,54.44,26.76,20.06,5879,39.67,19.5,14.62,873,5.89,2.9,2.17,14820,49.15,36.85
10,2003,6,Madhya Pradesh,Narsinghpur,7723,57.99,25.59,19.3,4556,34.21,15.1,11.38,1039,7.8,3.44,2.6,13318,44.14,33.28
10,2004,6,Madhya Pradesh,Narsinghpur,8930,58.78,29.46,22.28,4971,32.72,16.4,12.4,1290,8.49,4.26,3.22,15191,50.11,37.9
10,2005,6,Madhya Pradesh,Narsinghpur,9841,61.39,32.42,25.18,4647,28.99,15.31,11.89,1543,9.63,5.08,3.95,16031,52.82,41.02
10,2006,6,Madhya Pradesh,Narsinghpur,13901,67.18,45.77,35.79,5097,24.63,16.78,13.12,1694,8.19,5.58,4.36,20692,68.13,53.27
10,2007,6,Madhya Pradesh,Narsinghpur,10666,65.13,35.05,26.68,4863,29.69,15.98,12.17,848,5.18,2.79,2.12,16377,53.81,40.97
10,2008,6,Madhya Pradesh,Narsinghpur,11719,56.73,38.46,28.74,7238,35.04,23.75,17.75,1699,8.23,5.58,4.17,20656,67.78,50.65
10,2009,6,Madhya Pradesh,Narsinghpur,13128,56.88,42.94,31.76,7769,33.66,25.41,18.8,2185,9.47,7.15,5.29,23082,75.49,55.84
10,2010,6,Madhya Pradesh,Narsinghpur,13520,53.57,43.95,32.23,9587,37.98,31.17,22.85,2133,8.45,6.93,5.08,25240,82.05,60.17
10,2011,6,Madhya Pradesh,Narsinghpur,17420,60.27,56.41,41.04,10012,34.64,32.42,23.58,1470,5.09,4.76,3.46,28902,93.6,68.08
10,2012,6,Madhya Pradesh,Narsinghpur,19500,59.95,62.83,44.03,12182,37.45,39.25,27.51,846,2.6,2.73,1.91,32528,104.8,73.45
